Timestamp,Value
Jun 2015,250.8
Jul 2015,326
Aug 2015,273.2
Sep 2015,81.6
Oct 2015,259.2
Nov 2015,557.8
Dec 2015,723.8
Jan 2016,458.4
Feb 2016,385.8
Mar 2016,166.6
Apr 2016,180.6
May 2016,140.2
Jun 2016,133.2
Jul 2016,269.2
Aug 2016,247.8
Sep 2016,336.4
Oct 2016,119.8
Nov 2016,197.8
Dec 2016,325.4
Jan 2017,188.2
Feb 2017,346.2
Mar 2017,306.8
Apr 2017,104.6
May 2017,104.2
Jun 2017,259.8
Jul 2017,215.2
Aug 2017,319.6
Sep 2017,295.4
Oct 2017,483.2
Nov 2017,229.4
Dec 2017,291.6
Jan 2018,388.4
Feb 2018,168.2
Mar 2018,223.8
Apr 2018,216
May 2018,89.4
Jun 2018,151
Jul 2018,161
Aug 2018,230.4
Sep 2018,389
Oct 2018,457.4
Nov 2018,453.2
Dec 2018,330.8
Jan 2019,208.8
Feb 2019,213.2
Mar 2019,375.2
Apr 2019,89.4
May 2019,151
Jun 2019,221
Jul 2019,227
Aug 2019,426.4
Sep 2019,304.6
Oct 2019,288.6
Nov 2019,137.4
Dec 2019,483.8
Jan 2020,480.8
Feb 2020,561.2
Mar 2020,287
Apr 2020,70.8
May 2020,146.4
Jun 2020,246.2
Jul 2020,264.8
Aug 2020,236.2
Sep 2020,330.6
Oct 2020,445.6
Nov 2020,461.4
Dec 2020,381.4
Jan 2021,238.6
Feb 2021,347.2
Mar 2021,355.6
Apr 2021,54.8
May 2021,182.6
Jun 2021,87.6
Jul 2021,47.4
Aug 2021,152.2
Sep 2021,209.6
Oct 2021,430.6
Nov 2021,249.6
Dec 2021,271.6
Jan 2022,270.6
Feb 2022,495.6
Mar 2022,149.8
Apr 2022,142.4
May 2022,262.4
Jun 2022,249.8
Jul 2022,213
Aug 2022,160.2
Sep 2022,236.2
Oct 2022,544.2
Nov 2022,407.8
Dec 2022,276.6
Jan 2023,398.4
Feb 2023,241.8
Mar 2023,256.6
Apr 2023,167.8
May 2023,68.2
Jun 2023,135
Jul 2023,349
Aug 2023,232.4
Sep 2023,358.8
Oct 2023,422.6
Nov 2023,240
Dec 2023,512.4
Jan 2024,315.8
Feb 2024,348.4
Mar 2024,209.6
Apr 2024,281.2
May 2024,137.8
Jun 2024,170.4
Jul 2024,148.2
Aug 2024,507.6
Sep 2024,107.2
Oct 2024,239.4
Nov 2024,152.6
Dec 2024,483
Jan 2025,173
Feb 2025,233.8
Mar 2025,200.2
Apr 2025,127.6
May 2025,19
