Timestamp,Value
Jun 2015,111
Jul 2015,139.4
Aug 2015,84.8
Sep 2015,86.2
Oct 2015,108
Nov 2015,150
Dec 2015,287.8
Jan 2016,184
Feb 2016,154.4
Mar 2016,137.2
Apr 2016,69
May 2016,56
Jun 2016,66.6
Jul 2016,160.6
Aug 2016,162.6
Sep 2016,200.8
Oct 2016,65
Nov 2016,128.4
Dec 2016,187.8
Jan 2017,88.2
Feb 2017,126.8
Mar 2017,123
Apr 2017,62
May 2017,61.4
Jun 2017,65.2
Jul 2017,131.2
Aug 2017,196.8
Sep 2017,120.8
Oct 2017,168.4
Nov 2017,171
Dec 2017,123
Jan 2018,179.8
Feb 2018,110.2
Mar 2018,60.4
Apr 2018,86.6
May 2018,31.4
Jun 2018,50
Jul 2018,119.8
Aug 2018,127.4
Sep 2018,167.2
Oct 2018,183
Nov 2018,144.6
Dec 2018,255.8
Jan 2019,130
Feb 2019,165
Mar 2019,161.8
Apr 2019,37
May 2019,76.8
Jun 2019,89.2
Jul 2019,99.4
Aug 2019,214.4
Sep 2019,98.2
Oct 2019,161.6
Nov 2019,50.8
Dec 2019,204.8
Jan 2020,236.6
Feb 2020,178.2
Mar 2020,193.6
Apr 2020,29.4
May 2020,82.6
Jun 2020,107.4
Jul 2020,104.6
Aug 2020,63.4
Sep 2020,152.8
Oct 2020,155.2










Sep 2021,0
Oct 2021,18.4
Nov 2021,4.4






Jun 2022,95.6
Jul 2022,60.2
Aug 2022,93.4
Sep 2022,123
Oct 2022,220.2
Nov 2022,253.8
Dec 2022,142.6
Jan 2023,172.4
Feb 2023,92
Mar 2023,134.4
Apr 2023,76.4
May 2023,40
Jun 2023,68
Jul 2023,103
Aug 2023,71.6
Sep 2023,188.6
Oct 2023,110.4
Nov 2023,116
Dec 2023,168.6
Jan 2024,133
Feb 2024,135.2
Mar 2024,91.4
Apr 2024,94.4
May 2024,39
Jun 2024,68.8
Jul 2024,86.8
Aug 2024,187
Sep 2024,67.4
Oct 2024,183.8
Nov 2024,152.2
Dec 2024,195.4
Jan 2025,89.6
Feb 2025,131.2
Mar 2025,94.8
Apr 2025,89.6
May 2025,20.4
