Timestamp,Value
Jun 2015,105.8
Jul 2015,213.8
Aug 2015,154.2
Sep 2015,35.4
Oct 2015,117.6
Nov 2015,277.2
Dec 2015,414.8
Jan 2016,245.2
Feb 2016,171.8
Mar 2016,79
Apr 2016,106.8
May 2016,113.2
Jun 2016,81.6
Jul 2016,117.4
Aug 2016,76.6
Sep 2016,203.8
Oct 2016,39.6
Nov 2016,25.2
Dec 2016,0.8
Jan 2017,4.8
Feb 2017,10
Mar 2017,9.4
Apr 2017,3.6
May 2017,79.8
Jun 2017,183
Jul 2017,107.6
Aug 2017,196.4
Sep 2017,150.6
Oct 2017,189.4
Nov 2017,102.4
Dec 2017,108.2
Jan 2018,246.6
Feb 2018,81.2
Mar 2018,105.4
Apr 2018,96
May 2018,57.8
Jun 2018,104.2
Jul 2018,77
Aug 2018,103.8
Sep 2018,180.6
Oct 2018,175
Nov 2018,254
Dec 2018,128
Jan 2019,70
Feb 2019,122.6
Mar 2019,182.4
Apr 2019,50.4
May 2019,77.8
Jun 2019,106.2
Jul 2019,109.6
Aug 2019,219.4
Sep 2019,125.8
Oct 2019,150.6
Nov 2019,76.2
Dec 2019,235.2
Jan 2020,250.4
Feb 2020,336.4
Mar 2020,153.2
Apr 2020,23
May 2020,77
Jun 2020,157.2
Jul 2020,148.8
Aug 2020,137.6
Sep 2020,162.2
Oct 2020,267.2
Nov 2020,218.8
Dec 2020,216
Jan 2021,101.9
Feb 2021,183.6
Mar 2021,176.2
Apr 2021,19.4
May 2021,86.2
Jun 2021,56
Jul 2021,59
Aug 2021,102.8
Sep 2021,107.8
Oct 2021,264.6
Nov 2021,99.2
Dec 2021,147.8
Jan 2022,126.4
Feb 2022,334.8
Mar 2022,70.6
Apr 2022,54
May 2022,122.6
Jun 2022,120
Jul 2022,99.4
Aug 2022,101.2
Sep 2022,155.8
Oct 2022,295.4
Nov 2022,247.2
Dec 2022,166.6
Jan 2023,261.4
Feb 2023,84.2
Mar 2023,205.6
Apr 2023,61.6
May 2023,45.6
Jun 2023,89
Jul 2023,225
Aug 2023,99.8
Sep 2023,209.6
Oct 2023,196.4
Nov 2023,122.6
Dec 2023,284.6
Jan 2024,214.6
Feb 2024,148.6
Mar 2024,139.2
Apr 2024,168.8
May 2024,112.4
Jun 2024,77.4
Jul 2024,73.4
Aug 2024,290
Sep 2024,63.6
Oct 2024,131.4
Nov 2024,95.2
Dec 2024,268.8
Jan 2025,99.2
Feb 2025,163.6
Mar 2025,97.8
Apr 2025,53.8
May 2025,48
