Timestamp,Value
Sep 2015,72.8
Oct 2015,46.6
Nov 2015,70.8
Dec 2015,133.4
Jan 2016,104.8
Feb 2016,86.2
Mar 2016,65.2
Apr 2016,89.8
May 2016,37
Jun 2016,73
Jul 2016,73.8
Aug 2016,75.4
Sep 2016,77.8
Oct 2016,37.2
Nov 2016,74
Dec 2016,72
Jan 2017,56.6
Feb 2017,48
Mar 2017,50
Apr 2017,55
May 2017,48.2
Jun 2017,162.6
Jul 2017,59.4
Aug 2017,89.6
Sep 2017,131
Oct 2017,71.4
Nov 2017,115.8
Dec 2017,65.2
Jan 2018,56.8
Feb 2018,51.6
Mar 2018,34.4
Apr 2018,54.8
May 2018,38
Jun 2018,37.2
Jul 2018,54.2
Aug 2018,35.8
Sep 2018,93.6
Oct 2018,73.6
Nov 2018,31.6
Dec 2018,30
Jan 2019,70
Feb 2019,64
Mar 2019,117.2
Apr 2019,67
May 2019,151.2
Jun 2019,82.6
Jul 2019,119.4
Aug 2019,146.8
Sep 2019,68.2
Oct 2019,73.8
Nov 2019,120.6
Dec 2019,80.4
Jan 2020,57.8
Feb 2020,130.2
Mar 2020,41
Apr 2020,26.4
May 2020,53.8
Jun 2020,112.2
Jul 2020,85.6
Aug 2020,53
Sep 2020,56.8
Oct 2020,166
Nov 2020,46.2
Dec 2020,168.6
Jan 2021,74
Feb 2021,58.8
Mar 2021,64.6
Apr 2021,42.2
May 2021,120.4
Jun 2021,25
Jul 2021,162
Aug 2021,70
Sep 2021,70
Oct 2021,109
Nov 2021,93.2
Dec 2021,74.2
Jan 2022,35
Feb 2022,125.2
Mar 2022,34.6
Apr 2022,99.6
May 2022,78.4
Jun 2022,26.4
Jul 2022,73.6
Aug 2022,46.8
Sep 2022,102.4
Oct 2022,79.6
Nov 2022,45.8
Dec 2022,53.4
Jan 2023,93.4
Feb 2023,54.8
Mar 2023,83.8
Apr 2023,49.2
May 2023,36.6
Jun 2023,82.4
Jul 2023,133.8
Aug 2023,72
Sep 2023,89.2
Oct 2023,123.8
Nov 2023,104.6
Dec 2023,134.8
Jan 2024,80.6
Feb 2024,87.8
Mar 2024,69.8
Apr 2024,102.8
May 2024,60.8
Jun 2024,99.2
Jul 2024,69
Aug 2024,40
Sep 2024,95.4
Oct 2024,102
Nov 2024,40.2
Dec 2024,192.4
Jan 2025,82.2
Feb 2025,18.2
Mar 2025,56.2
Apr 2025,30.4
May 2025,39.6
Jun 2025,42.6
Jul 2025,65
Aug 2025,22.8
