Timestamp,Value
Sep 2015,37.4
Oct 2015,43.6
Nov 2015,49.2
Dec 2015,69.8
Jan 2016,81.2
Feb 2016,64
Mar 2016,29
Apr 2016,59
May 2016,27.2
Jun 2016,61.4
Jul 2016,99.2
Aug 2016,49.6
Sep 2016,50.4
Oct 2016,28.8
Nov 2016,57.2
Dec 2016,58.6
Jan 2017,46.6
Feb 2017,30.6
Mar 2017,42.4
Apr 2017,26.2
May 2017,34.6
Jun 2017,102.8
Jul 2017,58.2
Aug 2017,64.2
Sep 2017,89.2
Oct 2017,63.6
Nov 2017,85.8
Dec 2017,46
Jan 2018,54.4
Feb 2018,33.4
Mar 2018,64.4
Apr 2018,29
May 2018,24.4
Jun 2018,17.2
Jul 2018,20.4
Aug 2018,29.8
Sep 2018,84.6
Oct 2018,58.8
Nov 2018,35
Dec 2018,14
Jan 2019,50
Feb 2019,32.2
Mar 2019,54.6
Apr 2019,34.8
May 2019,94
Jun 2019,61.2
Jul 2019,57.2
Aug 2019,140
Sep 2019,78.4
Oct 2019,46
Nov 2019,79.2
Dec 2019,49.8
Jan 2020,30.8
Feb 2020,82.4
Mar 2020,20.4
Apr 2020,4.8
May 2020,25.4
Jun 2020,56.2
Jul 2020,82
Aug 2020,30.4
Sep 2020,50.4
Oct 2020,174.2
Nov 2020,38.8
Dec 2020,101.2
Jan 2021,74.2
Feb 2021,21.6
Mar 2021,52.6
Apr 2021,27.8
May 2021,70.2
Jun 2021,12
Jul 2021,61.6
Aug 2021,24.8
Sep 2021,75.6
Oct 2021,100.2
Nov 2021,63.4
Dec 2021,56.6
Jan 2022,20.4
Feb 2022,82.8
Mar 2022,19.8
Apr 2022,60
May 2022,51.6
Jun 2022,30.8
Jul 2022,46.4
Aug 2022,35.2
Sep 2022,77.4
Oct 2022,58
Nov 2022,47.2
Dec 2022,65
Jan 2023,65
Feb 2023,31.4
Mar 2023,68.4
Apr 2023,29.6
May 2023,34.6
Jun 2023,45
Jul 2023,92.4
Aug 2023,59.8
Sep 2023,79.8
Oct 2023,137.6
Nov 2023,93.6
Dec 2023,92.6
Jan 2024,56
Feb 2024,64.4
Mar 2024,61.2
Apr 2024,65.4
May 2024,41
Jun 2024,52.8
Jul 2024,51.2
Aug 2024,19.4
Sep 2024,57.2
Oct 2024,49.2
Nov 2024,39
Dec 2024,168
Jan 2025,31.6
Feb 2025,14
Mar 2025,31
Apr 2025,11.4
May 2025,33.8
Jun 2025,51.6
Jul 2025,44.4
Aug 2025,26.8
