Timestamp,Value
Sep 2015,77.8
Oct 2015,178.8
Nov 2015,472.4
Dec 2015,584.8
Jan 2016,394.4
Feb 2016,388.2
Mar 2016,173.2
Apr 2016,209.2
May 2016,129.6
Jun 2016,106
Jul 2016,212.8
Aug 2016,167.4
Sep 2016,298.6
Oct 2016,77.6
Nov 2016,177.4
Dec 2016,175.4
Jan 2017,206.6
Feb 2017,324.6
Mar 2017,304.2
Apr 2017,67.8
May 2017,150
Jun 2017,279.8
Jul 2017,214.2
Aug 2017,335.4
Sep 2017,350
Oct 2017,341.8
Nov 2017,255.6
Dec 2017,260.6
Jan 2018,380.2
Feb 2018,186.4
Mar 2018,177.6
Apr 2018,176
May 2018,115.8
Jun 2018,111.8
Jul 2018,111.8
Aug 2018,269.6
Sep 2018,249
Oct 2018,246.4
Nov 2018,458.2
Dec 2018,272.6
Jan 2019,160.8
Feb 2019,232
Mar 2019,372
Apr 2019,92.4
May 2019,131.4
Jun 2019,137.4
Jul 2019,203.2
Aug 2019,342.6
Sep 2019,322
Oct 2019,214
Nov 2019,181
Dec 2019,313
Jan 2020,297.5
Feb 2020,489.7
Mar 2020,170.4
Apr 2020,46.4
May 2020,80.4
Jun 2020,312.4
Jul 2020,344.2
Aug 2020,298.4
Sep 2020,237.4
Oct 2020,387
Nov 2020,339.6
Dec 2020,289.8
Jan 2021,187.4
Feb 2021,367.4
Mar 2021,203.8
Apr 2021,19.8
May 2021,194.2
Jun 2021,44
Jul 2021,47.8
Aug 2021,187.8
Sep 2021,191.8
Oct 2021,499.6
Nov 2021,254.2
Dec 2021,249.6
Jan 2022,177.4
Feb 2022,431.8
Mar 2022,142.6
Apr 2022,151.4
May 2022,185
Jun 2022,206
Jul 2022,164.8
Aug 2022,153.4
Sep 2022,271.6
Oct 2022,365.2
Nov 2022,374.6
Dec 2022,234.8
Jan 2023,359.8
Feb 2023,112.6
Mar 2023,369
Apr 2023,127.4
May 2023,62.2
Jun 2023,148.2
Jul 2023,329.2
Aug 2023,144
Sep 2023,302.8
Oct 2023,177.2
Nov 2023,221
Dec 2023,536.2
Jan 2024,239.8
Feb 2024,251.4
Mar 2024,291.6
Apr 2024,263.8
May 2024,131.4
Jun 2024,149.6
Jul 2024,144.8
Aug 2024,491.2
Sep 2024,101.4
Oct 2024,185.8
Nov 2024,159.2
Dec 2024,335.8
Jan 2025,162.6
Feb 2025,213.6
Mar 2025,106.8
Apr 2025,70.8
May 2025,148.8
Jun 2025,202.8
Jul 2025,175.4
Aug 2025,163.2
