Timestamp,Value
Sep 2015,23.6
Oct 2015,20.6
Nov 2015,92.2
Dec 2015,88.4
Jan 2016,80.2
Feb 2016,38
Mar 2016,20
Apr 2016,52.6
May 2016,13.4
Jun 2016,74.8
Jul 2016,46.4
Aug 2016,41.2
Sep 2016,27
Oct 2016,23.8
Nov 2016,43.4
Dec 2016,33
Jan 2017,8.2
Feb 2017,23
Mar 2017,24.4
Apr 2017,5.8
May 2017,18.2
Jun 2017,129
Jul 2017,45.2
Aug 2017,60
Sep 2017,59.6
Oct 2017,30.4
Nov 2017,28.6
Dec 2017,29.4
Jan 2018,40.4
Feb 2018,22.6
Mar 2018,39.2
Apr 2018,30.6
May 2018,18.4
Jun 2018,43
Jul 2018,21
Aug 2018,41.6
Sep 2018,33
Oct 2018,28.8
Nov 2018,38.6
Dec 2018,16.6
Jan 2019,0.8
Feb 2019,6.4
Mar 2019,34.8
Apr 2019,20
May 2019,32.8
Jun 2019,49.4
Jul 2019,65.6
Aug 2019,86.4
Sep 2019,53.4
Oct 2019,35.6
Nov 2019,72.6
Dec 2019,30
Jan 2020,29.4
Feb 2020,52.4
Mar 2020,18.8
Apr 2020,3.2
May 2020,8.6
Jun 2020,47
Jul 2020,55
Aug 2020,55.8
Sep 2020,24.4
Oct 2020,87
Nov 2020,20.4
Dec 2020,80.8
Jan 2021,66.6
Feb 2021,4.2
Mar 2021,19
Apr 2021,3.2
May 2021,55.6
Jun 2021,27.2
Jul 2021,58.4
Aug 2021,26.8
Sep 2021,33.2
Oct 2021,82.8
Nov 2021,25.6
Dec 2021,50
Jan 2022,8.8
Feb 2022,42.2
Mar 2022,24
Apr 2022,29
May 2022,26
Jun 2022,26.4
Jul 2022,37.8
Aug 2022,18.6
Sep 2022,44.8
Oct 2022,36.2
Nov 2022,60.4
Dec 2022,47.4
Jan 2023,24.4
Feb 2023,16
Mar 2023,56.6
Apr 2023,15.6
May 2023,19
Jun 2023,34.2
Jul 2023,55
Aug 2023,24.4
Sep 2023,16
Oct 2023,33.2
Nov 2023,48.2
Dec 2023,75.4
Jan 2024,30
Feb 2024,30.2
Mar 2024,49.4
Apr 2024,59.4
May 2024,72.6
Jun 2024,17.8
Jul 2024,31.4
Aug 2024,44.8
Sep 2024,22
Oct 2024,48.6
Nov 2024,8.6
Dec 2024,37
Jan 2025,28.2
Feb 2025,14.8
Mar 2025,8.2
Apr 2025,10.6
May 2025,31
Jun 2025,58
Jul 2025,54.4
Aug 2025,16.2
