Timestamp,Value
Sep 2015,49.2
Oct 2015,76.4
Nov 2015,275
Dec 2015,351.4
Jan 2016,27
Feb 2016,106
Mar 2016,113.4
Apr 2016,85
May 2016,104
Jun 2016,77.6
Jul 2016,152
Aug 2016,132.4
Sep 2016,173.2
Oct 2016,69
Nov 2016,91
Dec 2016,255
Jan 2017,136
Feb 2017,143.6
Mar 2017,155
Apr 2017,120.8
May 2017,31.8
Jun 2017,120.6
Jul 2017,88.6
Aug 2017,145
Sep 2017,109.6
Oct 2017,248.6
Nov 2017,249.2
Dec 2017,219.6
Jan 2018,217.6
Feb 2018,129.6
Mar 2018,75
Apr 2018,83
May 2018,41.8
Jun 2018,71.6
Jul 2018,88.8
Aug 2018,123
Sep 2018,281.4
Oct 2018,42
Nov 2018,105
Dec 2018,159.2
Jan 2019,179.8
Feb 2019,139.4
Mar 2019,230.4
Apr 2019,32
May 2019,119.2
Jun 2019,109
Jul 2019,128.6
Aug 2019,200
Sep 2019,114.2
Oct 2019,159.6
Nov 2019,44.8
Dec 2019,226.4
Jan 2020,319.4
Feb 2020,175.8
Mar 2020,118.4
Apr 2020,33.8
May 2020,115.6
Jun 2020,102
Jul 2020,98.4
Aug 2020,42.2
Sep 2020,185.4
Oct 2020,243.8
Nov 2020,196
Dec 2020,182.2
Jan 2021,131.2
Feb 2021,83
Mar 2021,242.2
Apr 2021,54.2
May 2021,72.4
Jun 2021,39.8
Jul 2021,102.6
Aug 2021,80.4
Sep 2021,98.4
Oct 2021,194.6
Nov 2021,252.2
Dec 2021,155.2
Jan 2022,214.4
Feb 2022,246.4
Mar 2022,31
Apr 2022,115.2
May 2022,160.2
Jun 2022,73.6
Jul 2022,82
Aug 2022,101.4
Sep 2022,101
Oct 2022,164.8
Nov 2022,161
Dec 2022,92
Jan 2023,191.4
Feb 2023,197.8
Mar 2023,94.2
Apr 2023,50
May 2023,25.4
Jun 2023,63.2
Jul 2023,120
Aug 2023,72.4
Sep 2023,147.2
Oct 2023,158
Nov 2023,94
Dec 2023,381.2
Jan 2024,279.4
Feb 2024,267.4
Mar 2024,130.6
Apr 2024,176.8
May 2024,34.2
Jun 2024,172.4
Jul 2024,118.4
Aug 2024,284
Sep 2024,122.2
Oct 2024,208.4
Nov 2024,150.6
Dec 2024,512.4
Jan 2025,138.4
Feb 2025,167.6
Mar 2025,192.6
Apr 2025,49.2
May 2025,136.8
Jun 2025,164.4
Jul 2025,123.8
Aug 2025,133.8
