Timestamp,Value
Jun 2015,102
Jul 2015,216
Aug 2015,110.8
Sep 2015,32.6
Oct 2015,99
Nov 2015,296.8
Dec 2015,291
Jan 2016,219.8
Feb 2016,170.6
Mar 2016,64.4
Apr 2016,97.2
May 2016,86.4
Jun 2016,75.6
Jul 2016,143.6
Aug 2016,103.8
Sep 2016,173.4
Oct 2016,45.8
Nov 2016,103.2
Dec 2016,101.8
Jan 2017,66.2
Feb 2017,160.2
Mar 2017,126.8
Apr 2017,18.6
May 2017,69.4
Jun 2017,146.4
Jul 2017,120.4
Aug 2017,153.6
Sep 2017,163.2
Oct 2017,159.4
Nov 2017,91.8
Dec 2017,130
Jan 2018,190.6
Feb 2018,77.2
Mar 2018,239.6
Apr 2018,61.6
May 2018,29.8
Jun 2018,108.6
Jul 2018,52.4
Aug 2018,113.8
Sep 2018,138.8
Oct 2018,128.6
Nov 2018,173.2
Dec 2018,114.6
Jan 2019,51.8
Feb 2019,89.6
Mar 2019,176
Apr 2019,46.2
May 2019,84
Jun 2019,83.2
Jul 2019,121.4
Aug 2019,207.6
Sep 2019,138.6
Oct 2019,139.4
Nov 2019,74
Dec 2019,221.6
Jan 2020,166.6
Feb 2020,310.2
Mar 2020,112.8
Apr 2020,20.6
May 2020,55.8
Jun 2020,140.2
Jul 2020,193
Aug 2020,184.4
Sep 2020,134.4
Oct 2020,187
Nov 2020,165
Dec 2020,167.6
Jan 2021,106.6
Feb 2021,138
Mar 2021,124.6
Apr 2021,13.4
May 2021,100
Jun 2021,46.6
Jul 2021,48.8
Aug 2021,133.2
Sep 2021,132
Oct 2021,241.8
Nov 2021,109.6
Dec 2021,124.8
Jan 2022,74.8
Feb 2022,256
Mar 2022,42.6
Apr 2022,52.2
May 2022,93
Jun 2022,93.2
Jul 2022,85
Aug 2022,106
Sep 2022,144
Oct 2022,237.2
Nov 2022,140.8
Dec 2022,140
Jan 2023,180.4
Feb 2023,76.4
Mar 2023,177
Apr 2023,66
May 2023,45
Jun 2023,68.6
Jul 2023,171.2
Aug 2023,70.2
Sep 2023,156.2
Oct 2023,183.4
Nov 2023,101.6
Dec 2023,272.8
Jan 2024,169
Feb 2024,137
Mar 2024,118.6
Apr 2024,169.4
May 2024,99.2
Jun 2024,55.4
Jul 2024,41.2
Aug 2024,291.2
Sep 2024,56.8
Oct 2024,98
Nov 2024,58.8
Dec 2024,203.2
Jan 2025,74
Feb 2025,118.2
Mar 2025,64.6
Apr 2025,64.8
May 2025,0
