Timestamp,Value
Jun 2015,44.4
Jul 2015,101.4
Aug 2015,33.6
Sep 2015,27
Oct 2015,31.2
Nov 2015,193.6
Dec 2015,191.2
Jan 2016,178.4
Feb 2016,87.8
Mar 2016,35.4
Apr 2016,62.6
May 2016,30
Jun 2016,47.6
Jul 2016,92.8
Aug 2016,69.8
Sep 2016,52.2
Oct 2016,22
Nov 2016,87.2
Dec 2016,77.2
Jan 2017,46.8
Feb 2017,81.2
Mar 2017,76.4
Apr 2017,13.2
May 2017,34
Jun 2017,117.4
Jul 2017,60.2
Aug 2017,66.8
Sep 2017,69.4
Oct 2017,71.6
Nov 2017,73.4
Dec 2017,67.4
Jan 2018,100.6
Feb 2018,37.6
Mar 2018,56.8
Apr 2018,61.4
May 2018,19.2
Jun 2018,62
Jul 2018,44.2
Aug 2018,60.8
Sep 2018,65
Oct 2018,49.6
Nov 2018,91.8
Dec 2018,61.8
Jan 2019,22.8
Feb 2019,25.6
Mar 2019,119.4
Apr 2019,39.8
May 2019,63
Jun 2019,57.4
Jul 2019,78.6
Aug 2019,99
Sep 2019,82
Oct 2019,75.4
Nov 2019,65
Dec 2019,112.6
Jan 2020,88.8
Feb 2020,200.6
Mar 2020,68.8
Apr 2020,8.8
May 2020,32.6
Jun 2020,64.6
Jul 2020,47
Aug 2020,63.2
Sep 2020,36.8
Oct 2020,108.2
Nov 2020,74
Dec 2020,90
Jan 2021,98
Feb 2021,85.2
Mar 2021,53.6
Apr 2021,9.8
May 2021,86
Jun 2021,18.2
Jul 2021,56
Aug 2021,105
Sep 2021,64.8
Oct 2021,52.8


Jan 2022,0

Mar 2022,7.2
Apr 2022,37
May 2022,38.8
Jun 2022,23
Jul 2022,31.8
Aug 2022,57.4
Sep 2022,100.2
Oct 2022,89.2
Nov 2022,62.6
Dec 2022,76.6
Jan 2023,73.8
Feb 2023,31.2
Mar 2023,55.6
Apr 2023,40.8
May 2023,47
Jun 2023,45
Jul 2023,106.6
Aug 2023,82.8
Sep 2023,77
Oct 2023,72
Nov 2023,57
Dec 2023,97.2
Jan 2024,63.8
Feb 2024,53.4
Mar 2024,59
Apr 2024,68.6
May 2024,118
Jun 2024,37.8
Jul 2024,72.6
Aug 2024,69.6
Sep 2024,41.8
Oct 2024,50.4
Nov 2024,17.4
Dec 2024,40.8
Jan 2025,26
Feb 2025,18
Mar 2025,22.4
Apr 2025,17.6
May 2025,0
