Timestamp,Value
Sep 2015,51
Oct 2015,90.8
Nov 2015,293.8
Dec 2015,410.6
Jan 2016,271
Feb 2016,180.4
Mar 2016,106
Apr 2016,112.4
May 2016,58
Jun 2016,67.8
Jul 2016,134.6
Aug 2016,103.2
Sep 2016,166.6
Oct 2016,60
Nov 2016,77.4
Dec 2016,110.8
Jan 2017,77.2
Feb 2017,149.6
Mar 2017,134
Apr 2017,34.6
May 2017,66
Jun 2017,170.6
Jul 2017,109.4
Aug 2017,166.8
Sep 2017,125.8
Oct 2017,177.6
Nov 2017,131.2
Dec 2017,136.4
Jan 2018,141.8
Feb 2018,94.2
Mar 2018,77.8
Apr 2018,107
May 2018,45.8
Jun 2018,81.6
Jul 2018,59.2
Aug 2018,105
Sep 2018,133
Oct 2018,119.2
Nov 2018,273.8
Dec 2018,139.8
Jan 2019,74.6
Feb 2019,107.4
Mar 2019,187
Apr 2019,73.6
May 2019,80.2
Jun 2019,89.6
Jul 2019,101.4
Aug 2019,169.6
Sep 2019,166.6
Oct 2019,109.8
Nov 2019,88.2
Dec 2019,166.4
Jan 2020,203.6
Feb 2020,282.6
Mar 2020,107.6
Apr 2020,24.8
May 2020,62.6
Jun 2020,167.8
Jul 2020,157.6
Aug 2020,173.6
Sep 2020,102
Oct 2020,198.6
Nov 2020,188.6
Dec 2020,201.6
Jan 2021,116.4
Feb 2021,233.4
Mar 2021,119.6
Apr 2021,15.6
May 2021,141
Jun 2021,40.2
Jul 2021,27
Aug 2021,100
Sep 2021,131.8
Oct 2021,270.2
Nov 2021,112.8
Dec 2021,109.8
Jan 2022,75.8
Feb 2022,246.2
Mar 2022,122.8
Apr 2022,58
May 2022,77
Jun 2022,102.2
Jul 2022,86.8
Aug 2022,80.6
Sep 2022,148
Oct 2022,235.6
Nov 2022,288.8
Dec 2022,171.6
Jan 2023,183.8
Feb 2023,66.2
Mar 2023,151
Apr 2023,78.2
May 2023,37.4
Jun 2023,69.2
Jul 2023,191
Aug 2023,112.8
Sep 2023,192.6
Oct 2023,115.6
Nov 2023,129.4
Dec 2023,245.6
Jan 2024,156.8
Feb 2024,118.8
Mar 2024,142.2
Apr 2024,160.6
May 2024,116.8
Jun 2024,78.4
Jul 2024,99.4
Aug 2024,251.2
Sep 2024,56.2
Oct 2024,119
Nov 2024,78.8
Dec 2024,146.4
Jan 2025,86.4
Feb 2025,151.8
Mar 2025,35
Apr 2025,50.2
May 2025,87.6
Jun 2025,133
Jul 2025,121.2
Aug 2025,64
