Timestamp,Value
Jun 2015,60.2
Jul 2015,148.8
Aug 2015,113.2
Sep 2015,36
Oct 2015,66.2
Nov 2015,190.6
Dec 2015,277.4
Jan 2016,216.6
Feb 2016,110.4
Mar 2016,70.2
Apr 2016,67.8
May 2016,62
Jun 2016,84
Jul 2016,98.8
Aug 2016,69.2
Sep 2016,118
Oct 2016,44
Nov 2016,48.4
Dec 2016,68.4
Jan 2017,44.8
Feb 2017,106.4
Mar 2017,101
Apr 2017,18.8
May 2017,67
Jun 2017,136.4
Jul 2017,120.4
Aug 2017,126.2
Sep 2017,130.8
Oct 2017,86
Nov 2017,84.8
Dec 2017,76.6
Jan 2018,148.8
Feb 2018,55.8
Mar 2018,66.6
Apr 2018,85
May 2018,38.2
Jun 2018,70.4
Jul 2018,48.4
Aug 2018,147.4
Sep 2018,102
Oct 2018,107.8
Nov 2018,183.8
Dec 2018,112
Jan 2019,36.8
Feb 2019,72.4
Mar 2019,162.2
Apr 2019,46.8
May 2019,58.2
Jun 2019,71.4
Jul 2019,98.8
Aug 2019,194.6
Sep 2019,162
Oct 2019,65.4
Nov 2019,66.6
Dec 2019,102.2
Jan 2020,135
Feb 2020,200.2
Mar 2020,53.6
Apr 2020,12
May 2020,22.2
Jun 2020,134.6
Jul 2020,145
Aug 2020,152.4
Sep 2020,64.4
Oct 2020,126.2
Nov 2020,103.6
Dec 2020,114.8
Jan 2021,90.8
Feb 2021,126
Mar 2021,97.2
Apr 2021,6.4
May 2021,101.2
Jun 2021,33.6
Jul 2021,41.4
Aug 2021,57.8
Sep 2021,100.4
Oct 2021,218
Nov 2021,51.6
Dec 2021,85.4
Jan 2022,42.2
Feb 2022,172.6
Mar 2022,62.6
Apr 2022,36
May 2022,72.8
Jun 2022,77.2
Jul 2022,61.8
Aug 2022,53.6
Sep 2022,115.4
Oct 2022,189.4
Nov 2022,160
Dec 2022,120.2
Jan 2023,113.8
Feb 2023,31.6
Mar 2023,123.6
Apr 2023,57.4
May 2023,30.6
Jun 2023,58
Jul 2023,171.4
Aug 2023,55
Sep 2023,160.8
Oct 2023,63.8
Nov 2023,79.4
Dec 2023,172.4
Jan 2024,104.6
Feb 2024,92
Mar 2024,103.4
Apr 2024,123.4
May 2024,97
Jun 2024,54.8
Jul 2024,72
Aug 2024,213.8
Sep 2024,60.8
Oct 2024,98.6
Nov 2024,47.2
Dec 2024,105.6
Jan 2025,60.8
Feb 2025,70.2
Mar 2025,30.6
Apr 2025,33
May 2025,7.4
