Timestamp,Value
Sep 2015,58
Oct 2015,96.6
Nov 2015,56.4
Dec 2015,75.6
Jan 2016,163.8
Feb 2016,60.8
Mar 2016,58.2
Apr 2016,107.2
May 2016,32.4
Jun 2016,126
Jul 2016,115.4
Aug 2016,59.2
Sep 2016,32.6
Oct 2016,82.6
Nov 2016,85
Dec 2016,39.6
Jan 2017,71.2
Feb 2017,73
Mar 2017,64.2
Apr 2017,53
May 2017,43.8
Jun 2017,138.4
Jul 2017,77.6
Aug 2017,117.4
Sep 2017,93.2
Oct 2017,67.6
Nov 2017,122.8
Dec 2017,79.8
Jan 2018,36.8
Feb 2018,32.6
Mar 2018,91.8
Apr 2018,57.6
May 2018,19.4
Jun 2018,24.6
Jul 2018,58.2
Aug 2018,41.8
Sep 2018,68.2
Oct 2018,82.4
Nov 2018,77.6
Dec 2018,52.8
Jan 2019,49.8
Feb 2019,31.6
Mar 2019,75.2
Apr 2019,37.8
May 2019,81.4
Jun 2019,90.4
Jul 2019,62
Aug 2019,77.4
Sep 2019,93.4
Oct 2019,75
Nov 2019,116.2
Dec 2019,51.6
Jan 2020,17.4
Feb 2020,66
Mar 2020,13.2
Apr 2020,8
May 2020,37.8
Jun 2020,91.6
Jul 2020,47.4
Aug 2020,5

Oct 2020,0





Apr 2021,72
May 2021,69.6
Jun 2021,16.6
Jul 2021,46.8
Aug 2021,30.2
Sep 2021,53.8
Oct 2021,151.2
Nov 2021,68.6
Dec 2021,60
Jan 2022,32

Mar 2022,17.4
Apr 2022,77.2
May 2022,49.8
Jun 2022,22.2
Jul 2022,25.4
Aug 2022,34.6
Sep 2022,76.2
Oct 2022,90.2
Nov 2022,89.8
Dec 2022,94.4
Jan 2023,83.6
Feb 2023,29.4
Mar 2023,79.2
Apr 2023,49
May 2023,36.8
Jun 2023,64.6
Jul 2023,84
Aug 2023,34.8
Sep 2023,37.6
Oct 2023,159.8
Nov 2023,104.8
Dec 2023,172.4
Jan 2024,58.4
Feb 2024,67.8
Mar 2024,82
Apr 2024,113
May 2024,30.8
Jun 2024,57.6
Jul 2024,137.8
Aug 2024,69.6
Sep 2024,86.4
Oct 2024,78.6
Nov 2024,73.8
Dec 2024,116.4
Jan 2025,101.2
Feb 2025,20.6
Mar 2025,47.4
Apr 2025,12.4
May 2025,37.4
Jun 2025,58
Jul 2025,65.6
Aug 2025,21.6
