Timestamp,Value
Sep 2015,25
Oct 2015,98
Nov 2015,240
Dec 2015,204.4
Jan 2016,181.8
Feb 2016,150.4
Mar 2016,67.6
Apr 2016,81.6
May 2016,80.8
Jun 2016,36.8
Jul 2016,96.8
Aug 2016,87.8
Sep 2016,116
Oct 2016,33.2
Nov 2016,93.4
Dec 2016,97.4
Jan 2017,128.2
Feb 2017,137.8
Mar 2017,105.6
Apr 2017,28.4
May 2017,47.8
Jun 2017,120.4
Jul 2017,88.8
Aug 2017,111.2
Sep 2017,133.8
Oct 2017,164.6
Nov 2017,121.6
Dec 2017,107
Jan 2018,179.6
Feb 2018,82.4
Mar 2018,71
Apr 2018,65.6
May 2018,30.4
Jun 2018,47.6
Jul 2018,79
Aug 2018,109
Sep 2018,91.8
Oct 2018,92
Nov 2018,150.2
Dec 2018,115.2
Jan 2019,80.6
Feb 2019,76.6
Mar 2019,137
Apr 2019,28.2
May 2019,58.6
Jun 2019,92
Jul 2019,155
Aug 2019,152.2
Sep 2019,112
Oct 2019,138.8
Nov 2019,60.6
Dec 2019,183.6
Jan 2020,98.8
Feb 2020,250
Mar 2020,80.4
Apr 2020,14.8
May 2020,44
Jun 2020,117.8
Jul 2020,138
Aug 2020,124.2
Sep 2020,129.2
Oct 2020,152.4
Nov 2020,98.2
Dec 2020,99.2
Jan 2021,103
Feb 2021,173.4
Mar 2021,100.4
Apr 2021,10.4
May 2021,71.4
Jun 2021,49.6
Jul 2021,24.2
Aug 2021,72.2
Sep 2021,83
Oct 2021,164.6
Nov 2021,80.6
Dec 2021,105.6
Jan 2022,82
Feb 2022,163.8
Mar 2022,48.6
Apr 2022,51.6
May 2022,75
Jun 2022,64.4
Jul 2022,64.4
Aug 2022,73.8
Sep 2022,136.4
Oct 2022,165.4
Nov 2022,118.2
Dec 2022,101
Jan 2023,137.6
Feb 2023,36.2
Mar 2023,112.8
Apr 2023,70.2
May 2023,38.2
Jun 2023,69.4
Jul 2023,108.4
Aug 2023,55.6
Sep 2023,111.2
Oct 2023,95.2
Nov 2023,101.8
Dec 2023,216.6
Jan 2024,103.2
Feb 2024,103.6
Mar 2024,73.8
Apr 2024,88.6
May 2024,78.2
Jun 2024,44
Jul 2024,50.8
Aug 2024,211.6
Sep 2024,43.2
Oct 2024,63
Nov 2024,56
Dec 2024,129.4
Jan 2025,49.8
Feb 2025,71.6
Mar 2025,29
Apr 2025,38
May 2025,69.8
Jun 2025,81.8
Jul 2025,61.2
Aug 2025,65.2
