Timestamp,Value
Jun 2015,101.6
Jul 2015,77.4
Aug 2015,89.2
Sep 2015,26.2
Oct 2015,35.4
Nov 2015,80.6
Dec 2015,102
Jan 2016,92.6
Feb 2016,79
Mar 2016,35.2
Apr 2016,62.2
May 2016,55
Jun 2016,58.4
Jul 2016,103.6
Aug 2016,55.2
Sep 2016,56
Oct 2016,36.2
Nov 2016,45.4
Dec 2016,57.8
Jan 2017,60.4
Feb 2017,60.6
Mar 2017,72.4
Apr 2017,49.4
May 2017,29.4
Jun 2017,129
Jul 2017,62
Aug 2017,68.6
Sep 2017,59
Oct 2017,77.2
Nov 2017,111.8
Dec 2017,78.8
Jan 2018,96.4
Feb 2018,6.4
Mar 2018,74.6
Apr 2018,58.6
May 2018,26.6
Jun 2018,17
Jul 2018,53.2
Aug 2018,64.2
Sep 2018,104.8
Oct 2018,64.2
Nov 2018,58.4
Dec 2018,16.4
Jan 2019,48.8
Feb 2019,29.8
Mar 2019,82.8
Apr 2019,40
May 2019,79.2
Jun 2019,56.2
Jul 2019,76.8
Aug 2019,122.4
Sep 2019,70
Oct 2019,56.4
Nov 2019,133.4
Dec 2019,72
Jan 2020,77.6
Feb 2020,152.8
Mar 2020,31.6
Apr 2020,18
May 2020,52.8
Jun 2020,57
Jul 2020,61.6
Aug 2020,36.8
Sep 2020,46.8
Oct 2020,168.6
Nov 2020,52
Dec 2020,71.2
Jan 2021,109
Feb 2021,58.2
Mar 2021,55.4
Apr 2021,23.8
May 2021,108.4
Jun 2021,17.6
Jul 2021,56.2
Aug 2021,38.4
Sep 2021,73.8
Oct 2021,126.4
Nov 2021,89.2
Dec 2021,43
Jan 2022,43.2
Feb 2022,127.2
Mar 2022,13.6
Apr 2022,93.6
May 2022,83.2
Jun 2022,2.4
Jul 2022,49.8
Aug 2022,32.6
Sep 2022,67.4
Oct 2022,91.6
Nov 2022,55.8
Dec 2022,71.4
Jan 2023,73.4
Feb 2023,51
Mar 2023,74.2
Apr 2023,35.6
May 2023,31.8
Jun 2023,62
Jul 2023,98.4
Aug 2023,47.8
Sep 2023,86
Oct 2023,180
Nov 2023,72.2
Dec 2023,146.6
Jan 2024,74.4
Feb 2024,82.2
Mar 2024,57.4
Apr 2024,68.6
May 2024,52.8
Jun 2024,31.6
Jul 2024,56.4
Aug 2024,45
Sep 2024,55.4
Oct 2024,51
Nov 2024,14.8
Dec 2024,170
Jan 2025,43.2
Feb 2025,12.6
Mar 2025,26.2
Apr 2025,21.2
May 2025,9.6
