Timestamp,Value
Sep 2015,49.6
Oct 2015,74.2
Nov 2015,209.2
Dec 2015,232.6
Jan 2016,185.2
Feb 2016,148.8
Mar 2016,76.8
Apr 2016,107.6
May 2016,49
Jun 2016,71.8
Jul 2016,103
Aug 2016,73.4
Sep 2016,138
Oct 2016,37.4
Nov 2016,112.2
Dec 2016,76.8
Jan 2017,87.6
Feb 2017,151.8
Mar 2017,120.6
Apr 2017,26
May 2017,84.8
Jun 2017,150.6
Jul 2017,141.8
Aug 2017,119.2
Sep 2017,209.6
Oct 2017,138.4
Nov 2017,124.8
Dec 2017,101.4
Jan 2018,180
Feb 2018,95
Mar 2018,93.6
Apr 2018,84.6
May 2018,47.8
Jun 2018,51.6
Jul 2018,62.4
Aug 2018,111.8
Sep 2018,106.8
Oct 2018,119.6
Nov 2018,206.6
Dec 2018,149.6
Jan 2019,60.8
Feb 2019,89.4
Mar 2019,173
Apr 2019,59.2
May 2019,62.8
Jun 2019,88.4
Jul 2019,104
Aug 2019,163.8
Sep 2019,168.8
Oct 2019,150
Nov 2019,96.6
Dec 2019,128.6
Jan 2020,106
Feb 2020,187
Mar 2020,69.2
Apr 2020,21.4
May 2020,27.8
Jun 2020,132.8
Jul 2020,198.4
Aug 2020,144.8
Sep 2020,134
Oct 2020,205
Nov 2020,137
Dec 2020,131
Jan 2021,116.8
Feb 2021,152.6
Mar 2021,85.6
Apr 2021,14.6
May 2021,111.8
Jun 2021,24
Jul 2021,36
Aug 2021,95.8
Sep 2021,88.6
Oct 2021,207.2
Nov 2021,98.6
Dec 2021,125.2
Jan 2022,58.8
Feb 2022,182.8
Mar 2022,68.6
Apr 2022,54.1
May 2022,87.3
Jun 2022,97.7
Jul 2022,59
Aug 2022,91.8
Sep 2022,147.2
Oct 2022,158.8
Nov 2022,221.6
Dec 2022,107.8
Jan 2023,160.4
Feb 2023,39.2
Mar 2023,161.8
Apr 2023,84.4
May 2023,47.6
Jun 2023,85.8
Jul 2023,180
Aug 2023,47.6
Sep 2023,150.8
Oct 2023,82.4
Nov 2023,118
Dec 2023,258.6
Jan 2024,91.4
Feb 2024,112.4
Mar 2024,131
Apr 2024,145
May 2024,91.4
Jun 2024,52.8
Jul 2024,83.6
Aug 2024,203.8
Sep 2024,49.2
Oct 2024,94.6
Nov 2024,71.8
Dec 2024,144.2
Jan 2025,80.4
Feb 2025,88.8
Mar 2025,46
Apr 2025,37.8
May 2025,81.6
Jun 2025,111.6
Jul 2025,105
Aug 2025,74.2
