Timestamp,Value
Sep 2015,47
Oct 2015,115.4
Nov 2015,282.2
Dec 2015,515
Jan 2016,329.8
Feb 2016,205.8
Mar 2016,98.4
Apr 2016,86.2
May 2016,87
Jun 2016,84.4
Jul 2016,93
Aug 2016,79.4
Sep 2016,221
Oct 2016,65.4
Nov 2016,88
Dec 2016,188.6
Jan 2017,80.6
Feb 2017,210.2
Mar 2017,133
Apr 2017,34.4
May 2017,51.6
Jun 2017,163.4
Jul 2017,84.6
Aug 2017,112.2
Sep 2017,117.4
Oct 2017,119.6
Nov 2017,96.8
Dec 2017,142
Jan 2018,219.4
Feb 2018,98.2
Mar 2018,85.6
Apr 2018,131.6
May 2018,44.8
Jun 2018,104.4
Jul 2018,7.4
Aug 2018,67.2
Sep 2018,187.6
Oct 2018,162
Nov 2018,341.8
Dec 2018,167
Jan 2019,65.2
Feb 2019,173
Mar 2019,222.2
Apr 2019,12.2
May 2019,77.4
Jun 2019,125.4
Jul 2019,113.8
Aug 2019,216.8
Sep 2019,112.2
Oct 2019,176.8
Nov 2019,63.2
Dec 2019,267
Jan 2020,330
Feb 2020,408.4
Mar 2020,154.4
Apr 2020,32.4
May 2020,94.8
Jun 2020,22.4
Jul 2020,65.8
Aug 2020,124.4
Sep 2020,124.4
Oct 2020,288
Nov 2020,208.6
Dec 2020,237
Jan 2021,95.4
Feb 2021,328.6
Mar 2021,207.2
Apr 2021,29.6
May 2021,150.2
Jun 2021,38.4
Jul 2021,80
Aug 2021,89.4
Sep 2021,97.4
Oct 2021,215.2
Nov 2021,115.2
Dec 2021,133.4
Jan 2022,114.4
Feb 2022,329
Mar 2022,149.8
Apr 2022,67.8
May 2022,137.8
Jun 2022,118.8
Jul 2022,67.6
Aug 2022,52.4
Sep 2022,146.8
Oct 2022,320.2
Nov 2022,328
Dec 2022,135
Jan 2023,244.8
Feb 2023,93
Mar 2023,128.8
Apr 2023,88
May 2023,33
Jun 2023,60.6
Jul 2023,173.8
Aug 2023,115
Sep 2023,207.8
Oct 2023,283.8
Nov 2023,112.6
Dec 2023,281.4
Jan 2024,233.4
Feb 2024,196.8
Mar 2024,125.8
Apr 2024,165.4
May 2024,97
Jun 2024,87
Jul 2024,70.6
Aug 2024,191.4
Sep 2024,57
Oct 2024,120.4
Nov 2024,77.4
Dec 2024,296.2
Jan 2025,90.2
Feb 2025,182.8
Mar 2025,101.2
Apr 2025,45.2
May 2025,87.6
Jun 2025,108.4
Jul 2025,117.2
Aug 2025,74.4
