Timestamp,Value
Jun 2015,53.6
Jul 2015,180
Aug 2015,139.4
Sep 2015,77.2
Oct 2015,130.4
Nov 2015,90.2
Dec 2015,154.8
Jan 2016,310.8
Feb 2016,60.8
Mar 2016,62.8
Apr 2016,110.8
May 2016,35.2
Jun 2016,201.2
Jul 2016,96.2
Aug 2016,75.2
Sep 2016,46.4
Oct 2016,125
Nov 2016,52.4
Dec 2016,50.2
Jan 2017,79.4
Feb 2017,123.8
Mar 2017,73.2
Apr 2017,42.8
May 2017,39
Jun 2017,175.2
Jul 2017,107.6
Aug 2017,114
Sep 2017,121.4
Oct 2017,86.6
Nov 2017,93.2
Dec 2017,68.6
Jan 2018,57.6
Feb 2018,39.8
Mar 2018,150.2
Apr 2018,65
May 2018,37.8
Jun 2018,44.8
Jul 2018,75.8
Aug 2018,66.8
Sep 2018,53.8
Oct 2018,107.6
Nov 2018,171.2
Dec 2018,93.2
Jan 2019,36.6
Feb 2019,60
Mar 2019,61
Apr 2019,50.8
May 2019,129.2
Jun 2019,108.8
Jul 2019,125
Aug 2019,115.8
Sep 2019,118.8
Oct 2019,116
Nov 2019,243
Dec 2019,83.4
Jan 2020,49.8
Feb 2020,97
Mar 2020,31.6
Apr 2020,4
May 2020,41
Jun 2020,78.2
Jul 2020,159.8
Aug 2020,121.2
Sep 2020,51.8
Oct 2020,286.4
Nov 2020,63
Dec 2020,217.8
Jan 2021,73
Feb 2021,64
Mar 2021,78.2
Apr 2021,22.6
May 2021,210.4
Jun 2021,27
Jul 2021,95.4
Aug 2021,103.8
Sep 2021,79.2
Oct 2021,177.6
Nov 2021,57.8
Dec 2021,96.6
Jan 2022,27.6
Feb 2022,81.8
Mar 2022,74.8
Apr 2022,57.4
May 2022,57.8
Jun 2022,31
Jul 2022,70
Aug 2022,52.8
Sep 2022,154.2
Oct 2022,127.4
Nov 2022,299
Dec 2022,139.8
Jan 2023,72
Feb 2023,28.8
Mar 2023,97.2
Apr 2023,81.8
May 2023,53.8
Jun 2023,53.4
Jul 2023,194.6
Aug 2023,79.4
Sep 2023,103.6
Oct 2023,355.8
Nov 2023,162.2
Dec 2023,297.4
Jan 2024,168.2
Feb 2024,80.8
Mar 2024,118.6
Apr 2024,148.2
May 2024,85.4
Jun 2024,66.2
Jul 2024,90.8
Aug 2024,91.2
Sep 2024,51.8
Oct 2024,102.4
Nov 2024,32.6
Dec 2024,128.4
Jan 2025,66.8
Feb 2025,77.2
Mar 2025,37.2
Apr 2025,29.6
May 2025,13.6
