Timestamp,Value
Sep 2015,44
Oct 2015,84.4
Nov 2015,81.4
Dec 2015,108
Jan 2016,153.8
Feb 2016,36.2
Mar 2016,24.4
Apr 2016,86.4
May 2016,13.4
Jun 2016,90
Jul 2016,100.6
Aug 2016,46.4
Sep 2016,36
Oct 2016,54.2
Nov 2016,50.8
Dec 2016,35.8
Jan 2017,41.8
Feb 2017,68.8
Mar 2017,57.2
Apr 2017,13.8
May 2017,32.4
Jun 2017,100
Jul 2017,56
Aug 2017,72.6
Sep 2017,70.2
Oct 2017,49.6
Nov 2017,74.2
Dec 2017,29
Jan 2018,46.2
Feb 2018,30
Mar 2018,111
Apr 2018,41.6
May 2018,30
Jun 2018,36.2
Jul 2018,59.4
Aug 2018,49
Sep 2018,35.4
Oct 2018,78.8
Nov 2018,86.2
Dec 2018,39.8
Jan 2019,32.6
Feb 2019,25
Mar 2019,66.6
Apr 2019,31.2
May 2019,72
Jun 2019,69
Jul 2019,80
Aug 2019,94.4
Sep 2019,62
Oct 2019,64.4
Nov 2019,148.2
Dec 2019,50.4
Jan 2020,23.4
Feb 2020,95.6
Mar 2020,23.6
Apr 2020,5.2
May 2020,27.8
Jun 2020,48.8
Jul 2020,90.6
Aug 2020,102.8
Sep 2020,21.8
Oct 2020,176.6
Nov 2020,39.6
Dec 2020,101.8
Jan 2021,65.6
Feb 2021,87.4
Mar 2021,38
Apr 2021,15.4
May 2021,130
Jun 2021,19
Jul 2021,59.4
Aug 2021,48.2
Sep 2021,65.8
Oct 2021,95
Nov 2021,40.2
Dec 2021,85.4
Jan 2022,10.4
Feb 2022,62.2
Mar 2022,34
Apr 2022,27
May 2022,45.2
Jun 2022,17.2
Jul 2022,20.6
Aug 2022,40.8
Sep 2022,75.8
Oct 2022,83
Nov 2022,144.8
Dec 2022,101
Jan 2023,39.2
Feb 2023,20.6
Mar 2023,54.4
Apr 2023,52.4
May 2023,31
Jun 2023,32
Jul 2023,100.4
Aug 2023,54.2
Sep 2023,61
Oct 2023,182.8
Nov 2023,85.8
Dec 2023,170.4
Jan 2024,62.2
Feb 2024,42.4
Mar 2024,64.2
Apr 2024,83.2
May 2024,52.4
Jun 2024,37.8
Jul 2024,38.6
Aug 2024,66.8
Sep 2024,25.4
Oct 2024,62.6
Nov 2024,30.2
Dec 2024,73.8
Jan 2025,30
Feb 2025,40.2
Mar 2025,21
Apr 2025,12.6
May 2025,33.6
Jun 2025,61.8
Jul 2025,95.4
Aug 2025,31.2
