Timestamp,Value
Sep 2015,30.6
Oct 2015,45.2
Nov 2015,107.4
Dec 2015,124
Jan 2016,152
Feb 2016,50.6
Mar 2016,38.6
Apr 2016,73.8
May 2016,25.6
Jun 2016,52.8
Jul 2016,68
Aug 2016,71.6
Sep 2016,45.6
Oct 2016,66.4
Nov 2016,123.4
Dec 2016,30.6
Jan 2017,24
Feb 2017,66.4
Mar 2017,61.6
Apr 2017,15.2
May 2017,33.6
Jun 2017,130.4
Jul 2017,67.4
Aug 2017,42.8
Sep 2017,64.6
Oct 2017,43
Nov 2017,49.8
Dec 2017,33.6
Jan 2018,58.6
Feb 2018,45.2
Mar 2018,91.2
Apr 2018,63.2
May 2018,18
Jun 2018,26
Jul 2018,64.2
Aug 2018,65.6
Sep 2018,56
Oct 2018,52.8
Nov 2018,53.4
Dec 2018,34.2
Jan 2019,10.2
Feb 2019,24
Mar 2019,84.4
Apr 2019,49.2
May 2019,58.4
Jun 2019,99.4
Jul 2019,73.2
Aug 2019,87.8
Sep 2019,61.4
Oct 2019,72.6
Nov 2019,135.4
Dec 2019,33
Jan 2020,22.4
Feb 2020,96
Mar 2020,37.8
Apr 2020,1.2
May 2020,33.2
Jun 2020,75.2
Jul 2020,69.2
Aug 2020,117.4
Sep 2020,24.8
Oct 2020,109.2
Nov 2020,34.8
Dec 2020,131.2
Jan 2021,97.6
Feb 2021,128.6
Mar 2021,26.4
Apr 2021,11
May 2021,116.6
Jun 2021,39.4
Jul 2021,47.8
Aug 2021,48.2
Sep 2021,45.4
Oct 2021,143.8
Nov 2021,81
Dec 2021,112.2
Jan 2022,17.8
Feb 2022,73.8
Mar 2022,41.2
Apr 2022,38
May 2022,70
Jun 2022,28.8
Jul 2022,42.8
Aug 2022,26.4
Sep 2022,97.8
Oct 2022,73.4
Nov 2022,115.8
Dec 2022,88.6
Jan 2023,33.8
Feb 2023,25
Mar 2023,64.4
Apr 2023,19
May 2023,26.6
Jun 2023,38.6
Jul 2023,116.4
Aug 2023,68.6
Sep 2023,42
Oct 2023,175.8
Nov 2023,85.6
Dec 2023,125.2
Jan 2024,60.4
Feb 2024,55.2
Mar 2024,60.8
Apr 2024,86
May 2024,80.8
Jun 2024,32.8
Jul 2024,70.8
Aug 2024,61.4
Sep 2024,53.6
Oct 2024,99.8
Nov 2024,28.4
Dec 2024,83.2
Jan 2025,51
Feb 2025,26
Mar 2025,16.8
Apr 2025,11
May 2025,35.4
Jun 2025,66.4
Jul 2025,58.8
Aug 2025,20
