Timestamp,Value
Jun 2015,0
Jul 2015,37
Aug 2015,184.4
Sep 2015,65.4
Oct 2015,170.4
Nov 2015,447.4
Dec 2015,474.8
Jan 2016,311.4
Feb 2016,348.4
Mar 2016,145.4
Apr 2016,167.2
May 2016,51.2
Jun 2016,106.2
Jul 2016,207
Aug 2016,199.2
Sep 2016,169.2
Oct 2016,0
Nov 2016,141.2
Dec 2016,210.6
Jan 2017,162
Feb 2017,300.6
Mar 2017,227.6
Apr 2017,75
May 2017,86.8
Jun 2017,226.8
Jul 2017,171.6
Aug 2017,220.4
Sep 2017,213
Oct 2017,391.8
Nov 2017,201.2
Dec 2017,183.8
Jan 2018,310.8
Feb 2018,121.4
Mar 2018,142.6
Apr 2018,135.8
May 2018,70.4
Jun 2018,90.2
Jul 2018,109.2
Aug 2018,234.8
Sep 2018,220.4
Oct 2018,288.2
Nov 2018,274.6
Dec 2018,220.2
Jan 2019,128
Feb 2019,151.6
Mar 2019,237.6
Apr 2019,67.4
May 2019,155.8
Jun 2019,136.8
Jul 2019,156.4
Aug 2019,369.8
Sep 2019,210
Oct 2019,238.6
Nov 2019,167.8
Dec 2019,338
Jan 2020,280.8
Feb 2020,470.6
Mar 2020,172.2
Apr 2020,38.4
May 2020,100.4
Jun 2020,220.2
Jul 2020,234
Aug 2020,245.6
Sep 2020,237.6
Oct 2020,345.6
Nov 2020,340.6
Dec 2020,238
Jan 2021,193.8
Feb 2021,222.4
Mar 2021,226.6
Apr 2021,21.6
May 2021,125.4
Jun 2021,65.8
Jul 2021,46.6
Aug 2021,135
Sep 2021,159.2
Oct 2021,328.2
Nov 2021,182.6
Dec 2021,170.6
Jan 2022,182.4
Feb 2022,324.8
Mar 2022,85.8
Apr 2022,86.8
May 2022,206.6
Jun 2022,174
Jul 2022,152.4
Aug 2022,126
Sep 2022,211.4
Oct 2022,409.8
Nov 2022,240
Dec 2022,198
Jan 2023,293
Feb 2023,147.2
Mar 2023,246.8
Apr 2023,108.6
May 2023,41.4
Jun 2023,106.6
Jul 2023,235
Aug 2023,126.2
Sep 2023,208.8
Oct 2023,209
Nov 2023,169
Dec 2023,429.6
Jan 2024,205.6
Feb 2024,257.4
Mar 2024,188.4
Apr 2024,260.8
May 2024,136.4
Jun 2024,104.6
Jul 2024,121.8
Aug 2024,423.2
Sep 2024,100.4
Oct 2024,192
Nov 2024,102
Dec 2024,360.6
Jan 2025,114.6
Feb 2025,207
Mar 2025,109.4
Apr 2025,80.6
May 2025,0.4
