Timestamp,Value
Jun 2015,39.8
Jul 2015,143.8
Aug 2015,74.2
Sep 2015,36
Oct 2015,73.4
Nov 2015,97.8
Dec 2015,129.4
Jan 2016,217.4
Feb 2016,48.2
Mar 2016,32.8
Apr 2016,94.2
May 2016,26
Jun 2016,108.2
Jul 2016,37
Aug 2016,40.4
Sep 2016,46.8
Oct 2016,77.6
Nov 2016,48.4
Dec 2016,43.4
Jan 2017,31.6
Feb 2017,73
Mar 2017,66
Apr 2017,11
May 2017,32.6
Jun 2017,101.4
Jul 2017,37.8
Aug 2017,80.4
Sep 2017,64.6
Oct 2017,49.4
Nov 2017,54.2
Dec 2017,27.8
Jan 2018,58.6
Feb 2018,30.8
Mar 2018,130
Apr 2018,41.2
May 2018,32.6
Jun 2018,19.8
Jul 2018,65.8
Aug 2018,66.2
Sep 2018,33.6
Oct 2018,22.2
Nov 2018,138.8
Dec 2018,75.6
Jan 2019,25.8
Feb 2019,24.4
Mar 2019,72.8
Apr 2019,38.2
May 2019,93.4
Jun 2019,85
Jul 2019,98.8
Aug 2019,152
Sep 2019,66.4
Oct 2019,65
Nov 2019,167.8
Dec 2019,67.8
Jan 2020,37
Feb 2020,140.6
Mar 2020,29
Apr 2020,9.6
May 2020,30.6
Jun 2020,45.6
Jul 2020,84
Aug 2020,110.8
Sep 2020,36.4
Oct 2020,200.8
Nov 2020,46.6
Dec 2020,100
Jan 2021,62.8
Feb 2021,131.8
Mar 2021,49.2
Apr 2021,23.6
May 2021,185.8
Jun 2021,18.6
Jul 2021,57.2
Aug 2021,85.6
Sep 2021,72
Oct 2021,121.8
Nov 2021,48
Dec 2021,86.2
Jan 2022,15.6
Feb 2022,72.4
Mar 2022,51.4
Apr 2022,40.4
May 2022,58.4
Jun 2022,41.2
Jul 2022,45.4
Aug 2022,57.8
Sep 2022,122.4
Oct 2022,92
Nov 2022,193.2
Dec 2022,100
Jan 2023,40.6
Feb 2023,25.8
Mar 2023,69.6
Apr 2023,75.4
May 2023,31.4
Jun 2023,56.8
Jul 2023,122.2
Aug 2023,86.8
Sep 2023,88.8
Oct 2023,344.2
Nov 2023,103.6
Dec 2023,179.8
Jan 2024,91.8
Feb 2024,52.6
Mar 2024,82.6
Apr 2024,90.2
May 2024,85.2
Jun 2024,49.4
Jul 2024,59.2
Aug 2024,63.8
Sep 2024,18.6
Oct 2024,60
Nov 2024,41.8
Dec 2024,84.4
Jan 2025,42.8
Feb 2025,61.8
Mar 2025,22
Apr 2025,11.8
May 2025,0.8
