Timestamp,Value
Sep 2015,26.2
Oct 2015,58.6
Nov 2015,127.4
Dec 2015,134.6
Jan 2016,177
Feb 2016,55.2
Mar 2016,21.2
Apr 2016,68
May 2016,16
Jun 2016,99.8
Jul 2016,84
Aug 2016,41.8
Sep 2016,39.8
Oct 2016,56.6
Nov 2016,32.8
Dec 2016,47
Jan 2017,27.4
Feb 2017,60
Mar 2017,50.6
Apr 2017,5.8
May 2017,48.2
Jun 2017,124.2
Jul 2017,45.6
Aug 2017,85.8
Sep 2017,60.4
Oct 2017,39.8
Nov 2017,39.8
Dec 2017,35.4
Jan 2018,64.4
Feb 2018,21.8
Mar 2018,122.6
Apr 2018,35.2
May 2018,36.4
Jun 2018,31
Jul 2018,59.8
Aug 2018,48.6
Sep 2018,45.8
Oct 2018,46.4
Nov 2018,115.2
Dec 2018,48.6
Jan 2019,8.4
Feb 2019,24.6
Mar 2019,57.8
Apr 2019,33.2
May 2019,83
Jun 2019,55.4
Jul 2019,73.6
Aug 2019,108.6
Sep 2019,69.8
Oct 2019,65.2
Nov 2019,99.8
Dec 2019,58.8
Jan 2020,34.4
Feb 2020,117.2
Mar 2020,21
Apr 2020,12.6
May 2020,18.6
Jun 2020,72
Jul 2020,94.2
Aug 2020,112.6
Sep 2020,40
Oct 2020,163.4
Nov 2020,42.2
Dec 2020,106.8
Jan 2021,55.4
Feb 2021,114.8
Mar 2021,27.2
Apr 2021,10.2
May 2021,127.2
Jun 2021,21.2
Jul 2021,53
Aug 2021,63.2
Sep 2021,50
Oct 2021,87.8
Nov 2021,63.6
Dec 2021,70.2
Jan 2022,17.6
Feb 2022,65.4
Mar 2022,32.6
Apr 2022,24.6
May 2022,43.6
Jun 2022,28.2
Jul 2022,26.8
Aug 2022,48
Sep 2022,74.8
Oct 2022,75
Nov 2022,146.6
Dec 2022,93.6
Jan 2023,43
Feb 2023,20.2
Mar 2023,75.4
Apr 2023,42.2
May 2023,29.6
Jun 2023,45
Jul 2023,97.6
Aug 2023,57.4
Sep 2023,75.2
Oct 2023,285.2
Nov 2023,86
Dec 2023,148
Jan 2024,62
Feb 2024,41.6
Mar 2024,77.8
Apr 2024,76.8
May 2024,69.8
Jun 2024,40.2
Jul 2024,32.8
Aug 2024,58.8
Sep 2024,20.2
Oct 2024,63.2
Nov 2024,42.4
Dec 2024,58
Jan 2025,26.8
Feb 2025,31.4
Mar 2025,19.6
Apr 2025,14
May 2025,36
Jun 2025,42.4
Jul 2025,66.4
Aug 2025,17
