Timestamp,Value
Sep 2015,36.8
Oct 2015,45.2
Nov 2015,74.8
Dec 2015,108.4
Jan 2016,80.8
Feb 2016,70.6
Mar 2016,38.2
Apr 2016,58
May 2016,33.8
Jun 2016,52
Jul 2016,38
Aug 2016,63.4
Sep 2016,63.4
Oct 2016,23.8
Nov 2016,27.2
Dec 2016,77.2
Jan 2017,55.4
Feb 2017,43.4
Mar 2017,53.8
Apr 2017,29.4
May 2017,35.8
Jun 2017,101.8
Jul 2017,59
Aug 2017,94
Sep 2017,91
Oct 2017,67.8
Nov 2017,96
Dec 2017,57.6
Jan 2018,72.2
Feb 2018,32.8
Mar 2018,43.2
Apr 2018,33.4
May 2018,33.4
Jun 2018,25.2
Jul 2018,46.4
Aug 2018,36.8
Sep 2018,95.6
Oct 2018,61
Nov 2018,21.8
Dec 2018,20.8
Jan 2019,49.8
Feb 2019,30.4
Mar 2019,81.6
Apr 2019,41.4
May 2019,86.6
Jun 2019,69.2
Jul 2019,68.8
Aug 2019,105.6
Sep 2019,44.2
Oct 2019,47
Nov 2019,82.6
Dec 2019,69.2
Jan 2020,58
Feb 2020,130.4
Mar 2020,29.6
Apr 2020,11.6
May 2020,23.6
Jun 2020,65.2
Jul 2020,57.6
Aug 2020,28.4
Sep 2020,93
Oct 2020,106.2
Nov 2020,32
Dec 2020,114.4
Jan 2021,82.2
Feb 2021,16.2
Mar 2021,51
Apr 2021,15.8
May 2021,108.2
Jun 2021,25.4
Jul 2021,102.6
Aug 2021,49
Sep 2021,64.6
Oct 2021,89.8
Nov 2021,48.8
Dec 2021,40.6
Jan 2022,25.8
Feb 2022,96.4
Mar 2022,16
Apr 2022,72.8
May 2022,47.6
Jun 2022,29.2
Jul 2022,41.8
Aug 2022,31
Sep 2022,57.6
Oct 2022,58.4
Nov 2022,26.8
Dec 2022,65.6
Jan 2023,63.8
Feb 2023,30
Mar 2023,66.4
Apr 2023,31.6
May 2023,24.2
Jun 2023,47
Jul 2023,63.8
Aug 2023,41.4
Sep 2023,87.6
Oct 2023,123.2
Nov 2023,71
Dec 2023,103.6
Jan 2024,65
Feb 2024,67.4
Mar 2024,51.8
Apr 2024,67.2
May 2024,31.6
Jun 2024,59.4
Jul 2024,63.2
Aug 2024,29.4
Sep 2024,78.2
Oct 2024,44
Nov 2024,23
Dec 2024,160.4
Jan 2025,36.8
Feb 2025,13.8
Mar 2025,35.8
Apr 2025,22.8
May 2025,43
Jun 2025,39.2
Jul 2025,76.2
Aug 2025,32.6
