Timestamp,Value
Jun 2015,114.4
Jul 2015,132.4
Aug 2015,111.8
Sep 2015,48.4
Oct 2015,89
Nov 2015,276.6
Dec 2015,328.8
Jan 2016,202
Feb 2016,192.8
Mar 2016,131.8
Apr 2016,120.4
May 2016,110.8
Jun 2016,94
Jul 2016,228.2
Aug 2016,172.2
Sep 2016,183.4
Oct 2016,69
Nov 2016,135
Dec 2016,187.8
Jan 2017,152.4
Feb 2017,153.6
Mar 2017,161
Apr 2017,140.4
May 2017,44.4
Jun 2017,169.6
Jul 2017,166.4
Aug 2017,188
Sep 2017,178
Oct 2017,267
Nov 2017,242.2
Dec 2017,263.2
Jan 2018,242.8
Feb 2018,161.6
Mar 2018,78
Apr 2018,82.6
May 2018,61.2
Jun 2018,105.2
Jul 2018,111.4
Aug 2018,143
Sep 2018,288.6
Oct 2018,296.2
Nov 2018,128.6
Dec 2018,197.2
Jan 2019,247
Feb 2019,153.4
Mar 2019,242.6
Apr 2019,40.8
May 2019,122.6
Jun 2019,126.4
Jul 2019,186.6
Aug 2019,230
Sep 2019,173.2
Oct 2019,212
Nov 2019,28.8
Dec 2019,259.2
Jan 2020,301
Feb 2020,310.8
Mar 2020,190.6
Apr 2020,41.2
May 2020,127.4
Jun 2020,146.8
Jul 2020,151.8
Aug 2020,69
Sep 2020,231
Oct 2020,285.2
Nov 2020,242.2
Dec 2020,244.6
Jan 2021,1251
Feb 2021,408
Mar 2021,258
Apr 2021,85.8
May 2021,71.2
Jun 2021,48.8
Jul 2021,94.6
Aug 2021,113.6
Sep 2021,118.4
Oct 2021,294.2
Nov 2021,306.6
Dec 2021,149.8
Jan 2022,189.2
Feb 2022,259.4
Mar 2022,37.4
Apr 2022,149.4
May 2022,219.8
Jun 2022,125.6
Jul 2022,126.6
Aug 2022,124.2
Sep 2022,117.8
Oct 2022,193.2
Nov 2022,167
Dec 2022,70.6
Jan 2023,192.6
Feb 2023,94.2
Mar 2023,93
Apr 2023,79.4
May 2023,42.6
Jun 2023,105.6
Jul 2023,191
Aug 2023,99
Sep 2023,201.6
Oct 2023,177.4
Nov 2023,148.8
Dec 2023,297.2
Jan 2024,218.2
Feb 2024,248.8
Mar 2024,85.4
Apr 2024,125.8
May 2024,38.8
Jun 2024,134.8
Jul 2024,131
Aug 2024,286.2
Sep 2024,87.6
Oct 2024,136.6
Nov 2024,167
Dec 2024,447.2
Jan 2025,120.8
Feb 2025,121.8
Mar 2025,120.4
Apr 2025,49.6
May 2025,22.6
