Timestamp,Value
Jun 2015,38
Jul 2015,126
Aug 2015,73.8
Sep 2015,31
Oct 2015,48.4
Nov 2015,166.8
Dec 2015,195.4
Jan 2016,173.4
Feb 2016,83.6
Mar 2016,36.2
Apr 2016,72.8
May 2016,28
Jun 2016,93.2
Jul 2016,60.2
Aug 2016,32.2
Sep 2016,50.8
Oct 2016,48
Nov 2016,48
Dec 2016,75.2
Jan 2017,22.4
Feb 2017,87.4
Mar 2017,66.4
Apr 2017,3.4
May 2017,32
Jun 2017,189.2
Jul 2017,65.6
Aug 2017,81.6
Sep 2017,68.2
Oct 2017,65
Nov 2017,42
Dec 2017,59.8
Jan 2018,113.2
Feb 2018,31.4
Mar 2018,123.8
Apr 2018,68.6
May 2018,24.8
Jun 2018,38
Jul 2018,42.4
Aug 2018,82.2
Sep 2018,62.4
Oct 2018,61.4
Nov 2018,124.2
Dec 2018,30.4
Jan 2019,9.6
Feb 2019,39.4
Mar 2019,99.8
Apr 2019,40.8
May 2019,81.2
Jun 2019,73.4
Jul 2019,91.4
Aug 2019,138.8
Sep 2019,81.6
Oct 2019,84.6
Nov 2019,121
Dec 2019,75.8
Jan 2020,81.2
Feb 2020,224
Mar 2020,48.6
Apr 2020,11.2
May 2020,32.4
Jun 2020,76.6
Jul 2020,85.4
Aug 2020,169.8
Sep 2020,52.2
Oct 2020,139.6
Nov 2020,67
Dec 2020,236.6
Jan 2021,94.4
Feb 2021,563.4
Mar 2021,55.2
Apr 2021,10.4
May 2021,148
Jun 2021,23.2
Jul 2021,38.6
Aug 2021,57.8
Sep 2021,57.8
Oct 2021,139.2
Nov 2021,46.2
Dec 2021,78.8
Jan 2022,30.6
Feb 2022,131.8
Mar 2022,32.2
Apr 2022,38.2
May 2022,48.4
Jun 2022,36.6
Jul 2022,28.4
Aug 2022,56
Sep 2022,110
Oct 2022,121.8
Nov 2022,112.4
Dec 2022,99.4
Jan 2023,80
Feb 2023,25.8
Mar 2023,114.8
Apr 2023,42.6
May 2023,19
Jun 2023,53
Jul 2023,106.4
Aug 2023,94.6
Sep 2023,102.2
Oct 2023,250.2
Nov 2023,76
Dec 2023,169.8
Jan 2024,103.4
Feb 2024,67
Mar 2024,47.6
Apr 2024,94.8
May 2024,124.8
Jun 2024,35
Jul 2024,40.8
Aug 2024,85.4
Sep 2024,26.6
Oct 2024,63.2
Nov 2024,38.4
Dec 2024,90
Jan 2025,48.4
Feb 2025,50
Mar 2025,38.4
Apr 2025,24.8
May 2025,5.4
