Timestamp,Value
Jun 2015,66.2
Jul 2015,162.6
Aug 2015,101.8
Sep 2015,45.2
Oct 2015,78.2
Nov 2015,241.8
Dec 2015,362.8
Jan 2016,259.2
Feb 2016,166.4
Mar 2016,68.8
Apr 2016,100.6
May 2016,105
Jun 2016,54
Jul 2016,93.2
Aug 2016,97
Sep 2016,126.6
Oct 2016,40
Nov 2016,59
Dec 2016,96
Jan 2017,60.8
Feb 2017,149.6
Mar 2017,114.6
Apr 2017,23.6
May 2017,82
Jun 2017,192.6
Jul 2017,124.4
Aug 2017,128
Sep 2017,116
Oct 2017,111.4
Nov 2017,97.2
Dec 2017,85.8
Jan 2018,193.4
Feb 2018,75.2
Mar 2018,69.2
Apr 2018,98.6
May 2018,44.8
Jun 2018,80.6
Jul 2018,91
Aug 2018,128.2
Sep 2018,111
Oct 2018,113.2
Nov 2018,228.8
Dec 2018,131.4
Jan 2019,36.8
Feb 2019,119.6
Mar 2019,215.6
Apr 2019,53
May 2019,60.6
Jun 2019,88.8
Jul 2019,124.2
Aug 2019,206
Sep 2019,155.6
Oct 2019,128.4
Nov 2019,96.6
Dec 2019,182.6
Jan 2020,202.2
Feb 2020,308.6
Mar 2020,77
Apr 2020,15.6
May 2020,29.6
Jun 2020,160
Jul 2020,159.4
Aug 2020,189.2
Sep 2020,79.8
Oct 2020,163.8
Nov 2020,161.4
Dec 2020,199
Jan 2021,107.8
Feb 2021,189.8
Mar 2021,132.4
Apr 2021,12.4
May 2021,129.2
Jun 2021,30.8
Jul 2021,48.2
Aug 2021,107
Sep 2021,97.6
Oct 2021,297
Nov 2021,79
Dec 2021,127
Jan 2022,71.2
Feb 2022,223
Mar 2022,65.4
Apr 2022,35.8
May 2022,75.4
Jun 2022,67.4
Jul 2022,52.6
Aug 2022,68.8
Sep 2022,125
Oct 2022,218.6
Nov 2022,206.8
Dec 2022,163.8
Jan 2023,149.2
Feb 2023,47
Mar 2023,163.6
Apr 2023,67
May 2023,25.6
Jun 2023,51.2
Jul 2023,187.6
Aug 2023,73.2
Sep 2023,206
Oct 2023,95.2
Nov 2023,95.4
Dec 2023,217
Jan 2024,154
Feb 2024,109.8
Mar 2024,147
Apr 2024,149
May 2024,117.6
Jun 2024,61.6
Jul 2024,50.8
Aug 2024,250.6
Sep 2024,44.2
Oct 2024,99.4
Nov 2024,62.2
Dec 2024,140
Jan 2025,81.6
Feb 2025,111.2
Mar 2025,47.2
Apr 2025,43
May 2025,8
