Timestamp,Value
Jun 2015,34.4
Jul 2015,131.2
Aug 2015,84.4
Sep 2015,46.4
Oct 2015,87
Nov 2015,71.6
Dec 2015,97.2
Jan 2016,160.4
Feb 2016,38.8
Mar 2016,41.6
Apr 2016,104.6
May 2016,19.2
Jun 2016,110.8
Jul 2016,108.6
Aug 2016,42.6
Sep 2016,22
Oct 2016,58
Nov 2016,69
Dec 2016,31.8
Jan 2017,53.6
Feb 2017,67.2
Mar 2017,57.2
Apr 2017,30.6
May 2017,22.2
Jun 2017,134.2
Jul 2017,57
Aug 2017,85.6
Sep 2017,73.6
Oct 2017,67.4
Nov 2017,101
Dec 2017,53.8
Jan 2018,36.4
Feb 2018,35.8
Mar 2018,106.4
Apr 2018,39
May 2018,20.4
Jun 2018,24.8
Jul 2018,75.2
Aug 2018,40.8
Sep 2018,34
Oct 2018,93.4
Nov 2018,81.8
Dec 2018,57.8
Jan 2019,33
Feb 2019,29.2
Mar 2019,60
Apr 2019,37.8
May 2019,70.2
Jun 2019,76
Jul 2019,65.4
Aug 2019,43.6
Sep 2019,64
Oct 2019,96.6
Nov 2019,126.4
Dec 2019,62
Jan 2020,18.6
Feb 2020,66.4
Mar 2020,12.4
Apr 2020,7.6
May 2020,21.6
Jun 2020,53.8
Jul 2020,78
Aug 2020,42.6
Sep 2020,31.2
Oct 2020,176.6
Nov 2020,31.6
Dec 2020,132.4
Jan 2021,71
Feb 2021,80.2
Mar 2021,33
Apr 2021,27
May 2021,73.2
Jun 2021,13.6
Jul 2021,41.4
Aug 2021,35.6
Sep 2021,70.6
Oct 2021,136.6
Nov 2021,50
Dec 2021,89.4
Jan 2022,27.4
Feb 2022,45.4
Mar 2022,45.8
Apr 2022,61.4
May 2022,43.4
Jun 2022,30.6
Jul 2022,53
Aug 2022,30
Sep 2022,108.2
Oct 2022,121
Nov 2022,120.6
Dec 2022,88
Jan 2023,59.4
Feb 2023,24
Mar 2023,74
Apr 2023,49.2
May 2023,45.6
Jun 2023,56.4
Jul 2023,90.2
Aug 2023,48.4
Sep 2023,62.8
Oct 2023,158.8
Nov 2023,93
Dec 2023,189.6
Jan 2024,63
Feb 2024,66.6
Mar 2024,61.6
Apr 2024,96
May 2024,37
Jun 2024,41
Jul 2024,80.8
Aug 2024,76
Sep 2024,30.6
Oct 2024,90.2
Nov 2024,31.8
Dec 2024,86.8
Jan 2025,57.8
Feb 2025,39.8
Mar 2025,38.4
Apr 2025,12.4
May 2025,4.6
