Timestamp,Value
Jun 2015,31
Jul 2015,99
Aug 2015,44.2
Sep 2015,53.8
Oct 2015,33.4
Nov 2015,94.6
Dec 2015,131.8
Jan 2016,177.6
Feb 2016,68.4
Mar 2016,30
Apr 2016,91.4
May 2016,27.2
Jun 2016,81.4
Jul 2016,129.8
Aug 2016,44.2
Sep 2016,43.8
Oct 2016,55.8
Nov 2016,102.4
Dec 2016,33.6
Jan 2017,26.6
Feb 2017,71.6
Mar 2017,57
Apr 2017,9.8
May 2017,20.8
Jun 2017,260.4
Jul 2017,69.8
Aug 2017,60
Sep 2017,57.8
Oct 2017,43.2
Nov 2017,51.6
Dec 2017,41.6
Jan 2018,62
Feb 2018,39.8
Mar 2018,97.8
Apr 2018,75.4
May 2018,18.4
Jun 2018,47.2
Jul 2018,38
Aug 2018,62
Sep 2018,59.6
Oct 2018,41.4
Nov 2018,81.4
Dec 2018,29.6
Jan 2019,8.8
Feb 2019,11.8
Mar 2019,65.6
Apr 2019,54
May 2019,99.2
Jun 2019,141.6
Jul 2019,86.4
Aug 2019,95.8
Sep 2019,49.8
Oct 2019,109.6
Nov 2019,168.8
Dec 2019,61.8
Jan 2020,51.8
Feb 2020,113.8
Mar 2020,35.8
Apr 2020,4.8
May 2020,46.2
Jun 2020,61
Jul 2020,75.6
Aug 2020,105.2
Sep 2020,34.2
Oct 2020,157.6
Nov 2020,28.4
Dec 2020,129.6
Jan 2021,117.6
Feb 2021,121
Mar 2021,32.6
Apr 2021,20.4
May 2021,116.2
Jun 2021,53.6
Jul 2021,74.4
Aug 2021,50.2
Sep 2021,45.6
Oct 2021,134.2
Nov 2021,44.2
Dec 2021,80.2
Jan 2022,18
Feb 2022,89.4
Mar 2022,46
Apr 2022,53.4
May 2022,53.2
Jun 2022,23.4
Jul 2022,35
Aug 2022,18.8
Sep 2022,98.8
Oct 2022,71.6
Nov 2022,123.8
Dec 2022,78.4
Jan 2023,24.8
Feb 2023,37.4
Mar 2023,69.2
Apr 2023,53.8
May 2023,42.2
Jun 2023,36.4
Jul 2023,80.8
Aug 2023,56
Sep 2023,56.6
Oct 2023,229.8
Nov 2023,115.2
Dec 2023,153
Jan 2024,67.8
Feb 2024,51.8
Mar 2024,92.6
Apr 2024,108.6
May 2024,175.2
Jun 2024,25.6
Jul 2024,80.8
Aug 2024,43.6
Sep 2024,54.6
Oct 2024,77.2
Nov 2024,22.6
Dec 2024,65.4
Jan 2025,58.6
Feb 2025,31.6
Mar 2025,9.6
Apr 2025,19.6
May 2025,8.6
