Timestamp,Value
Sep 2015,49
Oct 2015,71.4
Nov 2015,46
Dec 2015,80.2
Jan 2016,223.4
Feb 2016,57.2
Mar 2016,70.4
Apr 2016,87.8
May 2016,32.6
Jun 2016,105.8
Jul 2016,94.4
Aug 2016,44.8
Sep 2016,23.2
Oct 2016,93.2
Nov 2016,80.8
Dec 2016,31.4
Jan 2017,58.8
Feb 2017,54.6
Mar 2017,39.8
Apr 2017,56
May 2017,21.4
Jun 2017,118.4
Jul 2017,62.6
Aug 2017,77.8
Sep 2017,128.2
Oct 2017,67.8
Nov 2017,135.8
Dec 2017,65
Jan 2018,33.4
Feb 2018,40.2
Mar 2018,109.8
Apr 2018,35.8
May 2018,26.6
Jun 2018,30.6
Jul 2018,60.2
Aug 2018,34.6
Sep 2018,54.2
Oct 2018,99.6
Nov 2018,90.8
Dec 2018,64
Jan 2019,71.8
Feb 2019,30.2
Mar 2019,58.6
Apr 2019,64.6
May 2019,110.8
Jun 2019,103
Jul 2019,72.8
Aug 2019,87.2
Sep 2019,97.6
Oct 2019,91.8
Nov 2019,138.4
Dec 2019,48.2
Jan 2020,22.2
Feb 2020,63
Mar 2020,17.8
Apr 2020,18.8
May 2020,48
Jun 2020,75.8
Jul 2020,80.6
Aug 2020,48.2
Sep 2020,35
Oct 2020,167.4
Nov 2020,35.4
Dec 2020,147.6
Jan 2021,109.8
Feb 2021,48
Mar 2021,33.6
Apr 2021,38
May 2021,109.8
Jun 2021,18
Jul 2021,99.4
Aug 2021,66.2
Sep 2021,75.4
Oct 2021,128.2
Nov 2021,103.4
Dec 2021,67.2
Jan 2022,45.2
Feb 2022,63.2
Mar 2022,45.6
Apr 2022,86.2
May 2022,73.4
Jun 2022,26
Jul 2022,60.2
Aug 2022,43
Sep 2022,138.8
Oct 2022,79.2
Nov 2022,146.6
Dec 2022,103
Jan 2023,69.8
Feb 2023,29.6
Mar 2023,78.2
Apr 2023,61.8
May 2023,38.6
Jun 2023,48.4
Jul 2023,84.4
Aug 2023,63.2
Sep 2023,65
Oct 2023,218.4
Nov 2023,95
Dec 2023,185.8
Jan 2024,88.6
Feb 2024,78.4
Mar 2024,100
Apr 2024,112.2
May 2024,47.4
Jun 2024,56.2
Jul 2024,107.2
Aug 2024,43.2
Sep 2024,71.8
Oct 2024,73.6
Nov 2024,52
Dec 2024,126.4
Jan 2025,71
Feb 2025,32.4
Mar 2025,40.2
Apr 2025,11
May 2025,43.2
Jun 2025,67
Jul 2025,77.6
Aug 2025,62.2
