Timestamp,Value
Jun 2015,77
Jul 2015,114.4
Aug 2015,91.4
Sep 2015,35
Oct 2015,97.4
Nov 2015,240.2
Dec 2015,218.4
Jan 2016,121.4
Feb 2016,163
Mar 2016,56.4
Apr 2016,105.8
May 2016,67.6
Jun 2016,65.4
Jul 2016,125.8
Aug 2016,87
Sep 2016,119.2
Oct 2016,50.8
Nov 2016,114.8
Dec 2016,80.2
Jan 2017,107.4
Feb 2017,169
Mar 2017,106.2
Apr 2017,31.2
May 2017,49.4
Jun 2017,157.2
Jul 2017,135.2
Aug 2017,153.6
Sep 2017,149.2
Oct 2017,148
Nov 2017,147.6
Dec 2017,132.6
Jan 2018,175.4
Feb 2018,115.4
Mar 2018,81.2
Apr 2018,81.2
May 2018,42
Jun 2018,74
Jul 2018,74
Aug 2018,105.8
Sep 2018,77.6
Oct 2018,102.4
Nov 2018,173.4
Dec 2018,116
Jan 2019,95.8
Feb 2019,78
Mar 2019,154.2
Apr 2019,50
May 2019,73.4
Jun 2019,62
Jul 2019,114.2
Aug 2019,180.8
Sep 2019,144.6
Oct 2019,90.6
Nov 2019,63.8
Dec 2019,146.6
Jan 2020,123.8
Feb 2020,197
Mar 2020,83.4
Apr 2020,25.6
May 2020,43.4
Jun 2020,132.8
Jul 2020,150.4
Aug 2020,129.8
Sep 2020,81.6
Oct 2020,0.4
Nov 2020,118.6
Dec 2020,130.6
Jan 2021,117.4
Feb 2021,132.4
Mar 2021,84.2
Apr 2021,8.4
May 2021,85
Jun 2021,35.6
Jul 2021,16.8
Aug 2021,90.8
Sep 2021,123.8
Oct 2021,219.8
Nov 2021,134.2
Dec 2021,108.8
Jan 2022,88.8
Feb 2022,195.2
Mar 2022,76
Apr 2022,84
May 2022,84.6
Jun 2022,95
Jul 2022,62.6
Aug 2022,74.4
Sep 2022,138.2
Oct 2022,193
Nov 2022,160.8
Dec 2022,93.8
Jan 2023,145.8
Feb 2023,53.8
Mar 2023,103.6
Apr 2023,66.6
May 2023,42.2
Jun 2023,71.4
Jul 2023,149.8
Aug 2023,69.8
Sep 2023,115
Oct 2023,78
Nov 2023,113
Dec 2023,232.6
Jan 2024,76.8
Feb 2024,118.8
Mar 2024,97.2
Apr 2024,127
May 2024,145.4
Jun 2024,56
Jul 2024,60.2
Aug 2024,189.8
Sep 2024,55.8
Oct 2024,89.4
Nov 2024,69.2
Dec 2024,132.2
Jan 2025,64.8
Feb 2025,90.6
Mar 2025,49
Apr 2025,38.2
May 2025,0
