Timestamp,Value
Jun 2015,50.4
Jul 2015,146.8
Aug 2015,67.2
Sep 2015,25.2
Oct 2015,40.4
Nov 2015,158.2
Dec 2015,202
Jan 2016,211
Feb 2016,65.8
Mar 2016,24
Apr 2016,51.8
May 2016,38
Jun 2016,92.2
Jul 2016,86.2
Aug 2016,42
Sep 2016,24.2
Oct 2016,53
Nov 2016,39.4
Dec 2016,72.4
Jan 2017,26.4
Feb 2017,64.6
Mar 2017,60.6
Apr 2017,2.8
May 2017,29.8
Jun 2017,152
Jul 2017,62.2
Aug 2017,89.8
Sep 2017,81.4
Oct 2017,52.4
Nov 2017,39.2
Dec 2017,36
Jan 2018,83.2
Feb 2018,30.6
Mar 2018,105.6
Apr 2018,65.8
May 2018,23
Jun 2018,59.2
Jul 2018,43.8
Aug 2018,78.2
Sep 2018,55.6
Oct 2018,48
Nov 2018,106.4
Dec 2018,67.6
Jan 2019,9.6
Feb 2019,35
Mar 2019,81.8
Apr 2019,30
May 2019,81.6
Jun 2019,67.4
Jul 2019,107.2
Aug 2019,121.4
Sep 2019,78.2
Oct 2019,84.2
Nov 2019,99.2
Dec 2019,85.4
Jan 2020,58
Feb 2020,182.4
Mar 2020,40.6
Apr 2020,12.6
May 2020,24
Jun 2020,67.6
Jul 2020,94
Aug 2020,178.2
Sep 2020,46.2
Oct 2020,159.4
Nov 2020,55
Dec 2020,98.6
Jan 2021,66.8
Feb 2021,123.4
Mar 2021,53.6
Apr 2021,11.8
May 2021,123.6
Jun 2021,29.8
Jul 2021,83.2
Aug 2021,58.6
Sep 2021,63.4
Oct 2021,121.8
Nov 2021,35.6
Dec 2021,74.8
Jan 2022,28
Feb 2022,115.4
Mar 2022,34.2
Apr 2022,34.8
May 2022,43.8
Jun 2022,44.2
Jul 2022,39
Aug 2022,122.8
Sep 2022,159.6
Oct 2022,92.4
Nov 2022,127.4
Dec 2022,91.2
Jan 2023,64.8
Feb 2023,27.6
Mar 2023,85.6
Apr 2023,50.8
May 2023,22.6
Jun 2023,44
Jul 2023,108.2
Aug 2023,41.6
Sep 2023,124
Oct 2023,239.2
Nov 2023,76.4
Dec 2023,146.6
Jan 2024,86
Feb 2024,59.4
Mar 2024,83
Apr 2024,97
May 2024,77
Jun 2024,42
Jul 2024,40.2
Aug 2024,73.2
Sep 2024,29.4
Oct 2024,64.6
Nov 2024,45.4
Dec 2024,82.4
Jan 2025,45.8
Feb 2025,47.6
Mar 2025,44
Apr 2025,28.6
May 2025,6.2
