Timestamp,Value
Sep 2015,93.8
Oct 2015,43.8
Nov 2015,68.8
Dec 2015,107.2
Jan 2016,85.8
Feb 2016,84.4
Mar 2016,40.4
Apr 2016,79.4
May 2016,37.2
Jun 2016,100.4
Jul 2016,97.6
Aug 2016,65.6
Sep 2016,61.4
Oct 2016,44.6
Nov 2016,63
Dec 2016,67.2
Jan 2017,68.4
Feb 2017,35.2
Mar 2017,50.6
Apr 2017,52.2
May 2017,57.4
Jun 2017,169
Jul 2017,77
Aug 2017,85
Sep 2017,131.8
Oct 2017,68.4
Nov 2017,103.6
Dec 2017,60.8
Jan 2018,56
Feb 2018,39
Mar 2018,52.2
Apr 2018,46.6
May 2018,33.6
Jun 2018,34
Jul 2018,37.4
Aug 2018,28.6
Sep 2018,115.4
Oct 2018,93.8
Nov 2018,31.6
Dec 2018,26
Jan 2019,67.8
Feb 2019,41.4
Mar 2019,93.4
Apr 2019,44.6
May 2019,145
Jun 2019,109.8
Jul 2019,87.2
Aug 2019,164.8
Sep 2019,86.4
Oct 2019,66.6
Nov 2019,130.6
Dec 2019,56.4
Jan 2020,46
Feb 2020,109.2
Mar 2020,29.4
Apr 2020,16
May 2020,40.8
Jun 2020,87.2
Jul 2020,102.8
Aug 2020,34.8
Sep 2020,61.6
Oct 2020,205.8
Nov 2020,38.8
Dec 2020,135.2
Jan 2021,70.2
Feb 2021,25.4
Mar 2021,66.6
Apr 2021,34.2
May 2021,83.8
Jun 2021,14.6
Jul 2021,85.6
Aug 2021,50.2
Sep 2021,81.4
Oct 2021,119.8
Nov 2021,82
Dec 2021,50.4
Jan 2022,25
Feb 2022,111.8
Mar 2022,29.8
Apr 2022,87
May 2022,89.2
Jun 2022,21.8
Jul 2022,78.8
Aug 2022,51.6
Sep 2022,94.4
Oct 2022,64.2
Nov 2022,53.6
Dec 2022,77
Jan 2023,83
Feb 2023,42
Mar 2023,76.4
Apr 2023,47.6
May 2023,40.8
Jun 2023,39.8
Jul 2023,101.4
Aug 2023,64
Sep 2023,97.8
Oct 2023,136
Nov 2023,120.2
Dec 2023,104.6
Jan 2024,72.2
Feb 2024,71.8
Mar 2024,64.2
Apr 2024,98.6
May 2024,96.4
Jun 2024,112.4
Jul 2024,98
Aug 2024,37
Sep 2024,109.4
Oct 2024,70
Nov 2024,29.2
Dec 2024,174
Jan 2025,47.2
Feb 2025,14.6
Mar 2025,51.6
Apr 2025,22.2
May 2025,39
Jun 2025,51.2
Jul 2025,84.8
Aug 2025,24.8
