Timestamp,Value
Jun 2015,32.8
Jul 2015,95.6
Aug 2015,62.4
Sep 2015,48.8
Oct 2015,45.2
Nov 2015,67.4
Dec 2015,178.6
Jan 2016,231.6
Feb 2016,41.8
Mar 2016,39
Apr 2016,72
May 2016,38.2
Jun 2016,108.8
Jul 2016,83.8
Aug 2016,47.4
Sep 2016,36.2
Oct 2016,91.6
Nov 2016,85.4
Dec 2016,52.4
Jan 2017,48.2
Feb 2017,51.6
Mar 2017,44
Apr 2017,38.8
May 2017,21
Jun 2017,82.4
Jul 2017,52.4
Aug 2017,40.6
Sep 2017,75.4
Oct 2017,42.6
Nov 2017,95.4
Dec 2017,35
Jan 2018,36
Feb 2018,47.4
Mar 2018,62.2
Apr 2018,29.4
May 2018,24.6
Jun 2018,62.8
Jul 2018,49.4
Aug 2018,50.6
Sep 2018,46.8
Oct 2018,89.6
Nov 2018,133.4
Dec 2018,46.6
Jan 2019,47.2
Feb 2019,31
Mar 2019,65
Apr 2019,59.6
May 2019,130.8
Jun 2019,91.8
Jul 2019,87
Aug 2019,103.6
Sep 2019,52.8
Oct 2019,41.4
Nov 2019,161
Dec 2019,56
Jan 2020,42.2
Feb 2020,98.6
Mar 2020,17.2
Apr 2020,15
May 2020,40.6
Jun 2020,80.4
Jul 2020,82.2
Aug 2020,72.8
Sep 2020,26.6
Oct 2020,169
Nov 2020,29.6
Dec 2020,119.4
Jan 2021,56.4
Feb 2021,38.2
Mar 2021,40
Apr 2021,25.8
May 2021,144.4
Jun 2021,15
Jul 2021,75.6
Aug 2021,85.8
Sep 2021,67.6
Oct 2021,116.8
Nov 2021,76.6
Dec 2021,59.2
Jan 2022,24.4
Feb 2022,59.8
Mar 2022,44.6
Apr 2022,61.2
May 2022,43.8
Jun 2022,30.8
Jul 2022,33.4
Aug 2022,65.2
Sep 2022,140.4
Oct 2022,56.4
Nov 2022,156.4
Dec 2022,75.8
Jan 2023,39.4
Feb 2023,34.2
Mar 2023,61.2
Apr 2023,66.6
May 2023,26.2
Jun 2023,26.4
Jul 2023,90.6
Aug 2023,46.2
Sep 2023,93.8
Oct 2023,282.2
Nov 2023,66.6
Dec 2023,108.4
Jan 2024,60.8
Feb 2024,46.2
Mar 2024,79.2
Apr 2024,95.8
May 2024,77.8
Jun 2024,30.6
Jul 2024,100
Aug 2024,43.2
Sep 2024,47.6
Oct 2024,58.4
Nov 2024,21.2
Dec 2024,111
Jan 2025,30.2
Feb 2025,57.6
Mar 2025,26.6
Apr 2025,14.4
May 2025,14.4
