Timestamp,Value
Sep 2015,47.6
Oct 2015,132
Nov 2015,286.6
Dec 2015,392.6
Jan 2016,296
Feb 2016,256.6
Mar 2016,194.8
Apr 2016,110.4
May 2016,128
Jun 2016,106.4
Jul 2016,229
Aug 2016,270.4
Sep 2016,322
Oct 2016,79.6
Nov 2016,227
Dec 2016,241.4
Jan 2017,193
Feb 2017,254.2
Mar 2017,210.2
Apr 2017,141.6
May 2017,60.6
Jun 2017,192.4
Jul 2017,206
Aug 2017,268.6
Sep 2017,228.4
Oct 2017,415.2
Nov 2017,285.6
Dec 2017,262.4
Jan 2018,320
Feb 2018,232
Mar 2018,153.8
Apr 2018,154.2
May 2018,70.8
Jun 2018,86.2
Jul 2018,120.2
Aug 2018,200.4
Sep 2018,375.4
Oct 2018,357.8
Nov 2018,267.8
Dec 2018,279.4
Jan 2019,254.8
Feb 2019,256.2
Mar 2019,252.4
Apr 2019,42.6
May 2019,110.8
Jun 2019,126.3
Jul 2019,188.2
Aug 2019,324.6
Sep 2019,172.4
Oct 2019,218.6
Nov 2019,54.6
Dec 2019,298.2
Jan 2020,395.4
Feb 2020,458.2
Mar 2020,250.4
Apr 2020,80.6
May 2020,124.6
Jun 2020,182.6
Jul 2020,211.4
Aug 2020,137.4
Sep 2020,226
Oct 2020,452
Nov 2020,341.6
Dec 2020,284.2
Jan 2021,193.8
Feb 2021,216.8
Mar 2021,309
Apr 2021,44
May 2021,98.4
Jun 2021,68.6
Jul 2021,59
Aug 2021,95.4
Sep 2021,181.8
Oct 2021,328.8
Nov 2021,286.8
Dec 2021,162.4
Jan 2022,209.6
Feb 2022,336.6
Mar 2022,92.6
Apr 2022,156.6
May 2022,213
Jun 2022,160.6
Jul 2022,171.6
Aug 2022,96.4
Sep 2022,168
Oct 2022,374.2
Nov 2022,385.6
Dec 2022,197
Jan 2023,280.8
Feb 2023,214.2
Mar 2023,174.8
Apr 2023,131.2
May 2023,44.6
Jun 2023,129.4
Jul 2023,177.6
Aug 2023,158.8
Sep 2023,256.6
Oct 2023,270.4
Nov 2023,155.2
Dec 2023,353.6
Jan 2024,252
Feb 2024,249.2
Mar 2024,111.2
Apr 2024,205.2
May 2024,86.2
Jun 2024,118.2
Jul 2024,133.6
Aug 2024,401.6
Sep 2024,81.6
Oct 2024,206.4
Nov 2024,133
Dec 2024,10
Jan 2025,105.6
Feb 2025,219.4
Mar 2025,106.2
Apr 2025,55.6
May 2025,122.8
Jun 2025,238.2
Jul 2025,206.2
Aug 2025,150.8
