Timestamp,Value
Jun 2015,69
Jul 2015,131
Aug 2015,86.6
Sep 2015,60.8
Oct 2015,60.6
Nov 2015,215.2
Dec 2015,313
Jan 2016,197.2
Feb 2016,119.8
Mar 2016,71.2
Apr 2016,86.8
May 2016,51.4
Jun 2016,68
Jul 2016,106.8
Aug 2016,95.6
Sep 2016,126.2
Oct 2016,34
Nov 2016,64.2
Dec 2016,73
Jan 2017,57
Feb 2017,113.8
Mar 2017,137.4
Apr 2017,18
May 2017,66.8
Jun 2017,168.8
Jul 2017,93.6
Aug 2017,86
Sep 2017,124.6
Oct 2017,102.4
Nov 2017,107.6
Dec 2017,94.6
Jan 2018,141
Feb 2018,81.6
Mar 2018,61.2
Apr 2018,99.8
May 2018,41.8
Jun 2018,52.2
Jul 2018,60.8
Aug 2018,116.8
Sep 2018,107.8
Oct 2018,120.6
Nov 2018,182.6
Dec 2018,141.4
Jan 2019,46.2
Feb 2019,98.6
Mar 2019,177.8
Apr 2019,49.4
May 2019,60
Jun 2019,69
Jul 2019,132.2
Aug 2019,185.4
Sep 2019,175.6
Oct 2019,106.2
Nov 2019,96.6
Dec 2019,115.2
Jan 2020,141.4
Feb 2020,191
Mar 2020,62.6
Apr 2020,15
May 2020,24.2
Jun 2020,100.8
Jul 2020,165.4
Aug 2020,158.6
Sep 2020,69
Oct 2020,159.4
Nov 2020,121.8
Dec 2020,121.4
Jan 2021,100
Feb 2021,147
Mar 2021,87.6
Apr 2021,15.8
May 2021,114.4
Jun 2021,30
Jul 2021,52.2
Aug 2021,71.8
Sep 2021,87.4
Oct 2021,239
Nov 2021,63
Dec 2021,115.6
Jan 2022,45.8
Feb 2022,172.2
Mar 2022,34.2
Apr 2022,31.6
May 2022,69.8
Jun 2022,62.6
Jul 2022,37.2
Aug 2022,62.6
Sep 2022,91.8
Oct 2022,152.4
Nov 2022,180.8
Dec 2022,117.6
Jan 2023,119
Feb 2023,43.2
Mar 2023,129.6
Apr 2023,61
May 2023,24
Jun 2023,61.4
Jul 2023,148
Aug 2023,56.4
Sep 2023,151
Oct 2023,65.8
Nov 2023,120.2
Dec 2023,197.8
Jan 2024,107.2
Feb 2024,97.2
Mar 2024,86.8
Apr 2024,134.8
May 2024,97.2
Jun 2024,52
Jul 2024,51.8
Aug 2024,270.2
Sep 2024,53.4
Oct 2024,87.4
Nov 2024,50.8
Dec 2024,118.4
Jan 2025,70.6
Feb 2025,63
Mar 2025,35.2
Apr 2025,47.2
May 2025,17.4
