Timestamp,Value
Jun 2015,52.6
Jul 2015,94.4
Aug 2015,68.2
Sep 2015,16.6
Oct 2015,62.4
Nov 2015,245.6
Dec 2015,116.2
Jan 2016,136.8
Feb 2016,131.2
Mar 2016,53.6
Apr 2016,73.8
May 2016,27
Jun 2016,71
Jul 2016,101
Aug 2016,59.8
Sep 2016,91.4
Oct 2016,28.4
Nov 2016,90.4
Dec 2016,70.6
Jan 2017,52.2
Feb 2017,75
Mar 2017,71.6
Apr 2017,17.2
May 2017,41.2
Jun 2017,131
Jul 2017,83.6
Aug 2017,103.8
Sep 2017,88.2
Oct 2017,103
Nov 2017,99
Dec 2017,85.2
Jan 2018,141.2
Feb 2018,45.2
Mar 2018,39.8
Apr 2018,67.6
May 2018,15.8
Jun 2018,49.6
Jul 2018,69.8
Aug 2018,101
Sep 2018,58
Oct 2018,88.2
Nov 2018,106.2
Dec 2018,79.6
Jan 2019,46.4
Feb 2019,50.2
Mar 2019,131.8
Apr 2019,39
May 2019,44.4
Jun 2019,37.4
Jul 2019,133.4
Aug 2019,184.8
Sep 2019,98.4
Oct 2019,97.4
Nov 2019,47.4
Dec 2019,121.8
Jan 2020,93.2
Feb 2020,193.8
Mar 2020,70.6
Apr 2020,14.8
May 2020,31.4
Jun 2020,105.8
Jul 2020,119.2
Aug 2020,113.8
Sep 2020,94.6
Oct 2020,135.2
Nov 2020,107.4
Dec 2020,89
Jan 2021,87.8
Feb 2021,58.6
Mar 2021,58.4
Apr 2021,7.6
May 2021,53
Jun 2021,35.8
Jul 2021,25.4
Aug 2021,72
Sep 2021,72
Oct 2021,130.4
Nov 2021,69.4
Dec 2021,57.8
Jan 2022,52.2
Feb 2022,143.4
Mar 2022,27.8
Apr 2022,58.2
May 2022,61.4
Jun 2022,65.4
Jul 2022,30.8
Aug 2022,53
Sep 2022,107.6
Oct 2022,129
Nov 2022,85.4
Dec 2022,89
Jan 2023,95
Feb 2023,31.8
Mar 2023,62.4
Apr 2023,47
May 2023,27.6
Jun 2023,63
Jul 2023,123.6
Aug 2023,33.2
Sep 2023,103.2
Oct 2023,75.6
Nov 2023,111
Dec 2023,122.6
Jan 2024,71.2
Feb 2024,98
Mar 2024,79
Apr 2024,103.8
May 2024,68
Jun 2024,30
Jul 2024,46.4
Aug 2024,176.4
Sep 2024,37.2
Oct 2024,48
Nov 2024,42.6
Dec 2024,80.4
Jan 2025,35.6
Feb 2025,52.6
Mar 2025,33.6
Apr 2025,26.4
May 2025,8
