Timestamp,Value
Jun 2015,51.4
Jul 2015,62.8
Aug 2015,110
Sep 2015,63
Oct 2015,100.2
Nov 2015,55.2
Dec 2015,76.8
Jan 2016,163.4
Feb 2016,67.8
Mar 2016,54.8
Apr 2016,91
May 2016,21.6
Jun 2016,117.2
Jul 2016,114.6
Aug 2016,57.4
Sep 2016,36.8
Oct 2016,67.4
Nov 2016,80.4
Dec 2016,37.8
Jan 2017,82.6
Feb 2017,69
Mar 2017,81.2
Apr 2017,60.6
May 2017,45.8
Jun 2017,118.2
Jul 2017,71.2
Aug 2017,107.2
Sep 2017,76.2
Oct 2017,70.6
Nov 2017,132.6
Dec 2017,73.8
Jan 2018,45.8
Feb 2018,35.8
Mar 2018,106.8
Apr 2018,34
May 2018,23.6
Jun 2018,23.2
Jul 2018,50.2
Aug 2018,47
Sep 2018,68.6
Oct 2018,75.4
Nov 2018,71.4
Dec 2018,53.8
Jan 2019,46.6
Feb 2019,35.2
Mar 2019,65.6
Apr 2019,35.8
May 2019,75.6
Jun 2019,83.8
Jul 2019,62.8
Aug 2019,76.2
Sep 2019,115.6
Oct 2019,87.4
Nov 2019,121.6
Dec 2019,59.8
Jan 2020,30.2
Feb 2020,64.8
Mar 2020,13.6
Apr 2020,13
May 2020,33.4
Jun 2020,80.4
Jul 2020,85.6
Aug 2020,39.6
Sep 2020,39
Oct 2020,199
Nov 2020,29.6
Dec 2020,141.4
Jan 2021,119.2
Feb 2021,27.8
Mar 2021,37.8
Apr 2021,40
May 2021,32.4
Jun 2021,19.4
Jul 2021,57.6
Aug 2021,25.2
Sep 2021,49.2
Oct 2021,134.6
Nov 2021,74.4
Dec 2021,57.2
Jan 2022,45
Feb 2022,56
Mar 2022,41.6
Apr 2022,62.8
May 2022,48.4
Jun 2022,31.4
Jul 2022,65.2
Aug 2022,34.6
Sep 2022,60.4
Oct 2022,88
Nov 2022,99.6
Dec 2022,107.8
Jan 2023,89.6
Feb 2023,31.4
Mar 2023,65.6
Apr 2023,50.6
May 2023,56.2
Jun 2023,73.4
Jul 2023,71.8
Aug 2023,52
Sep 2023,43
Oct 2023,147
Nov 2023,95.4
Dec 2023,195.4
Jan 2024,93.2
Feb 2024,73.2
Mar 2024,83.2
Apr 2024,105.4
May 2024,39.2
Jun 2024,58.2
Jul 2024,144
Aug 2024,61.6
Sep 2024,75.2
Oct 2024,79.8
Nov 2024,81.4
Dec 2024,131.4
Jan 2025,75.2
Feb 2025,28.8
Mar 2025,40
Apr 2025,11.8
May 2025,2.8
