Timestamp,Value
Sep 2015,43
Oct 2015,89.8
Nov 2015,297.6
Dec 2015,312.2
Jan 2016,211
Feb 2016,171.8
Mar 2016,76.8
Apr 2016,105
May 2016,89.2
Jun 2016,66.8
Jul 2016,106.2
Aug 2016,95
Sep 2016,155.2
Oct 2016,35.4
Nov 2016,81.2
Dec 2016,112.2
Jan 2017,58.8
Feb 2017,143.8
Mar 2017,103.8
Apr 2017,24.4
May 2017,55.8
Jun 2017,118
Jul 2017,78.2
Aug 2017,112.2
Sep 2017,107.6
Oct 2017,124.6
Nov 2017,77.6
Dec 2017,109
Jan 2018,177.2
Feb 2018,64.4
Mar 2018,80.2
Apr 2018,66.2
May 2018,32.2
Jun 2018,57.4
Jul 2018,59.2
Aug 2018,76.6
Sep 2018,104.6
Oct 2018,99
Nov 2018,143
Dec 2018,97
Jan 2019,45.4
Feb 2019,85.8
Mar 2019,151.2
Apr 2019,33.4
May 2019,58.8
Jun 2019,61.6
Jul 2019,92.8
Aug 2019,161.8
Sep 2019,105.8
Oct 2019,126.8
Nov 2019,65.2
Dec 2019,195.6
Jan 2020,157
Feb 2020,239
Mar 2020,88
Apr 2020,10.8
May 2020,43.4
Jun 2020,97.8
Jul 2020,123.8
Aug 2020,123.2
Sep 2020,102.6
Oct 2020,167.4
Nov 2020,145.2
Dec 2020,154.8
Jan 2021,86.2
Feb 2021,128
Mar 2021,123.8
Apr 2021,13.4
May 2021,74.6
Jun 2021,33.8
Jul 2021,45.8
Aug 2021,77
Sep 2021,95.8
Oct 2021,161.6
Nov 2021,69.4
Dec 2021,83.6
Jan 2022,72.8
Feb 2022,196.8
Mar 2022,40.4
Apr 2022,37.4
May 2022,81.4
Jun 2022,71.4
Jul 2022,49.2
Aug 2022,86.6
Sep 2022,69.4
Oct 2022,213.2
Nov 2022,146
Dec 2022,154
Jan 2023,169.6
Feb 2023,44.6
Mar 2023,85.8
Apr 2023,31
May 2023,33.6
Jun 2023,73
Jul 2023,155
Aug 2023,68.6
Sep 2023,176.6
Oct 2023,188.4
Nov 2023,100.6
Dec 2023,270.8
Jan 2024,163.4
Feb 2024,149
Mar 2024,128.6
Apr 2024,180.2
May 2024,95.6
Jun 2024,61
Jul 2024,59
Aug 2024,288
Sep 2024,56.2
Oct 2024,109.2
Nov 2024,61.6
Dec 2024,205.4
Jan 2025,77.6
Feb 2025,130.4
Mar 2025,70.6
Apr 2025,75.8
May 2025,98.8
Jun 2025,110.6
Jul 2025,106.4
Aug 2025,90
