Timestamp,Value
Jun 2015,66.8
Jul 2015,106
Aug 2015,82.4
Sep 2015,32.8
Oct 2015,50.8
Nov 2015,139.4
Dec 2015,135.6
Jan 2016,158.2
Feb 2016,121.8
Mar 2016,55.6
Apr 2016,81.4
May 2016,61.4
Jun 2016,54.8
Jul 2016,113.4
Aug 2016,91
Sep 2016,74.4
Oct 2016,56.2
Nov 2016,103.4
Dec 2016,112.4
Jan 2017,75.6
Feb 2017,78.2
Mar 2017,78.2
Apr 2017,80.8
May 2017,37.6
Jun 2017,93
Jul 2017,88.2
Aug 2017,67.4
Sep 2017,90.4
Oct 2017,140.2
Nov 2017,197.8
Dec 2017,114.6
Jan 2018,98.4
Feb 2018,45.4
Mar 2018,75.6
Apr 2018,54.8
May 2018,39.8
Jun 2018,36.2
Jul 2018,43.4
Aug 2018,60.2
Sep 2018,160.8
Oct 2018,153.6
Nov 2018,60
Dec 2018,75.8
Jan 2019,105.4
Feb 2019,40.8
Mar 2019,144.6
Apr 2019,52
May 2019,98.4
Jun 2019,54
Jul 2019,90.4
Aug 2019,127.4
Sep 2019,94.4
Oct 2019,89.6
Nov 2019,63.6
Dec 2019,108.2
Jan 2020,129
Feb 2020,190.2
Mar 2020,80.2
Apr 2020,30.4
May 2020,92.4
Jun 2020,76.6
Jul 2020,50.2
Aug 2020,27.8
Sep 2020,73.4
Oct 2020,159.8
Nov 2020,89.2
Dec 2020,80.4



Apr 2021,7.2
May 2021,103.2
Jun 2021,17.2
Jul 2021,65
Aug 2021,59.6
Sep 2021,89.4
Oct 2021,149.2
Nov 2021,142.8
Dec 2021,76.8
Jan 2022,97.4
Feb 2022,154.6
Mar 2022,17.6
Apr 2022,98.2
May 2022,64.4
Jun 2022,53
Jul 2022,71.8
Aug 2022,57.2
Sep 2022,115.8
Oct 2022,83
Nov 2022,93.2
Dec 2022,60.6
Jan 2023,101.4
Feb 2023,109
Mar 2023,65.4
Apr 2023,50.4
May 2023,25.4
Jun 2023,99.6
Jul 2023,118.8
Aug 2023,72.4
Sep 2023,117.6
Oct 2023,200.8
Nov 2023,69.6
Dec 2023,225
Jan 2024,135.6
Feb 2024,117.2
Mar 2024,68
Apr 2024,66.4
May 2024,39.2
Jun 2024,88
Jul 2024,48.2
Aug 2024,71.6
Sep 2024,52.8
Oct 2024,81.2
Nov 2024,61.6
Dec 2024,236.4
Jan 2025,45
Feb 2025,40.8
Mar 2025,52.2
Apr 2025,23.4
May 2025,14.8
