Timestamp,Value
Sep 2015,66.2
Oct 2015,64.4
Nov 2015,218.2
Dec 2015,239.4
Jan 2016,214.4
Feb 2016,180.2
Mar 2016,86
Apr 2016,163.6
May 2016,64.6
Jun 2016,49.8
Jul 2016,186.8
Aug 2016,143.6
Sep 2016,147.6
Oct 2016,73.2
Nov 2016,185.2
Dec 2016,173.4
Jan 2017,153.4
Feb 2017,124
Mar 2017,161
Apr 2017,145.2
May 2017,92.4
Jun 2017,115.8
Jul 2017,142.2
Aug 2017,172.8
Sep 2017,121.8
Oct 2017,190.4
Nov 2017,247.4
Dec 2017,192
Jan 2018,174.8
Feb 2018,98.4
Mar 2018,83
Apr 2018,77.8
May 2018,44
Jun 2018,41.6
Jul 2018,59
Aug 2018,115.4
Sep 2018,246.6
Oct 2018,261.2
Nov 2018,61.2
Dec 2018,103.8
Jan 2019,193.4
Feb 2019,147.2
Mar 2019,180.4
Apr 2019,77.8
May 2019,127.8
Jun 2019,81.2
Jul 2019,131.2
Aug 2019,151.8
Sep 2019,110
Oct 2019,167.4
Nov 2019,118.4
Dec 2019,201.2
Jan 2020,202
Feb 2020,233
Mar 2020,141.8
Apr 2020,50.8
May 2020,103.6
Jun 2020,100
Jul 2020,109
Aug 2020,34.8
Sep 2020,123
Oct 2020,193.2
Nov 2020,144.8
Dec 2020,168.2
Jan 2021,137.6
Feb 2021,37.4
Mar 2021,178.2
Apr 2021,60.2
May 2021,76.8
Jun 2021,44.8
Jul 2021,29.4
Aug 2021,40
Sep 2021,113.6
Oct 2021,243.6
Nov 2021,265.2
Dec 2021,132.6
Jan 2022,177.8
Feb 2022,173
Mar 2022,49
Apr 2022,119.4
May 2022,127.8
Jun 2022,64.8
Jul 2022,120.4
Aug 2022,95.2
Sep 2022,111.6
Oct 2022,146.6
Nov 2022,142.6
Dec 2022,151.8
Jan 2023,170.2
Feb 2023,169.4
Mar 2023,114.4
Apr 2023,50.8
May 2023,60.4
Jun 2023,46
Jul 2023,156.2
Aug 2023,124.4
Sep 2023,147
Oct 2023,173.8
Nov 2023,115.4
Dec 2023,219.2
Jan 2024,181.2
Feb 2024,171.2
Mar 2024,90.6
Apr 2024,119.8
May 2024,49.2
Jun 2024,136.6
Jul 2024,90.8
Aug 2024,178
Sep 2024,125
Oct 2024,182.2
Nov 2024,131.8
Dec 2024,294.8
Jan 2025,113.6
Feb 2025,59.8
Mar 2025,123.2
Apr 2025,48.2
May 2025,46.6
Jun 2025,135.4
Jul 2025,134.2
Aug 2025,99.2
