Timestamp,Value
Sep 2015,40.2
Oct 2015,54.6
Nov 2015,42.2
Dec 2015,88.4
Jan 2016,211.6
Feb 2016,52
Mar 2016,54.8
Apr 2016,93
May 2016,22.6
Jun 2016,93.2
Jul 2016,144.2
Aug 2016,75.4
Sep 2016,28
Oct 2016,99.4
Nov 2016,105.4
Dec 2016,45.8
Jan 2017,57.2
Feb 2017,46.4
Mar 2017,42.2
Apr 2017,66.6
May 2017,23.6
Jun 2017,129
Jul 2017,62
Aug 2017,69
Sep 2017,121.8
Oct 2017,73.4
Nov 2017,143.2
Dec 2017,39
Jan 2018,34.4
Feb 2018,33.6
Mar 2018,116.2
Apr 2018,31.2
May 2018,31.8
Jun 2018,58
Jul 2018,49.6
Aug 2018,37.4
Sep 2018,56.2
Oct 2018,102
Nov 2018,90.6
Dec 2018,68.8
Jan 2019,54.4
Feb 2019,18
Mar 2019,73.2
Apr 2019,70.6
May 2019,147
Jun 2019,91.8
Jul 2019,71.4
Aug 2019,111.6
Sep 2019,93.2
Oct 2019,99.8
Nov 2019,167.8
Dec 2019,53.2
Jan 2020,28.6
Feb 2020,81
Mar 2020,27
Apr 2020,19.6
May 2020,47.8
Jun 2020,111.6
Jul 2020,87.8
Aug 2020,62.8
Sep 2020,34.4
Oct 2020,193.4
Nov 2020,32
Dec 2020,155.4
Jan 2021,85.8
Feb 2021,11.2
Mar 2021,40.6
Apr 2021,47.2
May 2021,157.8
Jun 2021,15
Jul 2021,75.2
Aug 2021,76.8
Sep 2021,62.4
Oct 2021,127.4
Nov 2021,73.4
Dec 2021,78
Jan 2022,34.4
Feb 2022,49.2
Mar 2022,43.8
Apr 2022,83.4
May 2022,60.8
Jun 2022,29.2
Jul 2022,60
Aug 2022,43.4
Sep 2022,147
Oct 2022,69
Nov 2022,147.4
Dec 2022,48.2
Jan 2023,75
Feb 2023,32
Mar 2023,76.6
Apr 2023,72.6
May 2023,38
Jun 2023,31.6
Jul 2023,98.4
Aug 2023,57.4
Sep 2023,86.2
Oct 2023,247
Nov 2023,107
Dec 2023,181.2
Jan 2024,96.8
Feb 2024,75.2
Mar 2024,105
Apr 2024,112
May 2024,59
Jun 2024,60
Jul 2024,133.8
Aug 2024,49.4
Sep 2024,43.8
Oct 2024,79.4
Nov 2024,41.2
Dec 2024,146.6
Jan 2025,81
Feb 2025,27.2
Mar 2025,36.2
Apr 2025,7
May 2025,39.2
Jun 2025,62.2
Jul 2025,61.8
Aug 2025,23.8
