Timestamp,Value
Jun 2015,105.6
Jul 2015,174.6
Aug 2015,114
Sep 2015,33.8
Oct 2015,91
Nov 2015,308
Dec 2015,351.8
Jan 2016,228
Feb 2016,178.4
Mar 2016,61.6
Apr 2016,86.8
May 2016,96.2
Jun 2016,62
Jul 2016,149.2
Aug 2016,102
Sep 2016,169.4
Oct 2016,44.4
Nov 2016,99.8
Dec 2016,147.8
Jan 2017,92
Feb 2017,182
Mar 2017,155.6
Apr 2017,35.4
May 2017,63
Jun 2017,154.4
Jul 2017,101.2
Aug 2017,102.8
Sep 2017,120.8
Oct 2017,175.4
Nov 2017,94.4
Dec 2017,134
Jan 2018,185.4
Feb 2018,93.2
Mar 2018,83.8
Apr 2018,72
May 2018,43.8
Jun 2018,86.4
Jul 2018,98.2
Aug 2018,96.4
Sep 2018,147.6
Oct 2018,139.6
Nov 2018,166.8
Dec 2018,144.6
Jan 2019,62.6
Feb 2019,103
Mar 2019,162
Apr 2019,30.8
May 2019,71.4
Jun 2019,79.8
Jul 2019,123.4
Aug 2019,219.2
Sep 2019,124.8
Oct 2019,161.8
Nov 2019,65.2
Dec 2019,211.2
Jan 2020,197.6
Feb 2020,302
Mar 2020,120.2
Apr 2020,28.2
May 2020,68.2
Jun 2020,107.4
Jul 2020,152.8
Aug 2020,150.8
Sep 2020,119.4
Oct 2020,196.6
Nov 2020,152.4
Dec 2020,162.4
Jan 2021,121.6
Feb 2021,133
Mar 2021,139.2
Apr 2021,21.8
May 2021,80.8
Jun 2021,61.6
Jul 2021,61.8
Aug 2021,85
Sep 2021,124.4
Oct 2021,242.4
Nov 2021,95.4
Dec 2021,113
Jan 2022,111.2
Feb 2022,278.2
Mar 2022,60.6
Apr 2022,55.8
May 2022,94.8
Jun 2022,96.6
Jul 2022,83.2
Aug 2022,80.2
Sep 2022,118.6
Oct 2022,236
Nov 2022,155.4
Dec 2022,168.6
Jan 2023,207.6
Feb 2023,69.4
Mar 2023,169
Apr 2023,83.4
May 2023,32.4
Jun 2023,89.4
Jul 2023,143.4
Aug 2023,75.2
Sep 2023,187.6
Oct 2023,199.2
Nov 2023,112.2
Dec 2023,238.6
Jan 2024,162.4
Feb 2024,167.2
Mar 2024,132.4
Apr 2024,155.2
May 2024,86
Jun 2024,44
Jul 2024,54.4
Aug 2024,255.8
Sep 2024,45.4
Oct 2024,92
Nov 2024,71.4
Dec 2024,232.6
Jan 2025,72.2
Feb 2025,109.8
Mar 2025,69.4
Apr 2025,74.8
May 2025,9
