Timestamp,Value
Sep 2015,31
Oct 2015,48.2
Nov 2015,171.4
Dec 2015,166.6
Jan 2016,188.6
Feb 2016,76
Mar 2016,34.4
Apr 2016,84.2
May 2016,35.8
Jun 2016,106.8
Jul 2016,60
Aug 2016,36
Sep 2016,40
Oct 2016,54
Nov 2016,25
Dec 2016,63.4
Jan 2017,24.4
Feb 2017,77.8
Mar 2017,57
Apr 2017,5
May 2017,44
Jun 2017,159.6
Jul 2017,59.6
Aug 2017,81.2
Sep 2017,78.6
Oct 2017,53
Nov 2017,38.8
Dec 2017,39
Jan 2018,93.2
Feb 2018,26.6
Mar 2018,115
Apr 2018,67.2
May 2018,31.8
Jun 2018,32.6
Jul 2018,51.8
Aug 2018,65.6
Sep 2018,58.4
Oct 2018,47.4
Nov 2018,124.8
Dec 2018,50.8
Jan 2019,14.2
Feb 2019,33.8
Mar 2019,87.4
Apr 2019,40.2
May 2019,84
Jun 2019,58.6
Jul 2019,78
Aug 2019,117.4
Sep 2019,74.4
Oct 2019,67.2
Nov 2019,116.8
Dec 2019,52.4
Jan 2020,50.2
Feb 2020,180.2
Mar 2020,30.4
Apr 2020,8
May 2020,32
Jun 2020,74.6
Jul 2020,107.6
Aug 2020,136.2
Sep 2020,42.8
Oct 2020,139.8
Nov 2020,60.4
Dec 2020,146.2
Jan 2021,83
Feb 2021,101.4
Mar 2021,48.2
Apr 2021,14.6
May 2021,137.4
Jun 2021,22.2
Jul 2021,52.8
Aug 2021,59.8
Sep 2021,50.6
Oct 2021,121.2
Nov 2021,42.8
Dec 2021,71.4
Jan 2022,24
Feb 2022,100.2
Mar 2022,30.4
Apr 2022,34.4
May 2022,46
Jun 2022,39.8
Jul 2022,29.2
Aug 2022,54.4
Sep 2022,135.8
Oct 2022,92.8
Nov 2022,140.8
Dec 2022,115
Jan 2023,60.2
Feb 2023,26.8
Mar 2023,103
Apr 2023,42.8
May 2023,21
Jun 2023,46.4
Jul 2023,68.8
Aug 2023,48.4
Sep 2023,96.4
Oct 2023,228.6
Nov 2023,77.4
Dec 2023,144.2
Jan 2024,75.2
Feb 2024,52
Mar 2024,84.4
Apr 2024,86.8
May 2024,110.8
Jun 2024,35
Jul 2024,38.8
Aug 2024,66.6
Sep 2024,28.4
Oct 2024,63.4
Nov 2024,34
Dec 2024,73
Jan 2025,37.2
Feb 2025,32.4
Mar 2025,24.4
Apr 2025,20.2
May 2025,37.8
Jun 2025,54.4
Jul 2025,72.8
Aug 2025,25.8
