Timestamp,Value
Jun 2015,51
Jul 2015,97
Aug 2015,66.2
Sep 2015,44.6
Oct 2015,62.6
Nov 2015,46
Dec 2015,66
Jan 2016,202.6
Feb 2016,46
Mar 2016,76.8
Apr 2016,94.8
May 2016,26.8
Jun 2016,134.6
Jul 2016,89.8
Aug 2016,56.4
Sep 2016,25
Oct 2016,81.8
Nov 2016,74.4
Dec 2016,31.4
Jan 2017,52.8
Feb 2017,54.2
Mar 2017,41.4
Apr 2017,39
May 2017,22.4
Jun 2017,114.2
Jul 2017,60.4
Aug 2017,105.6
Sep 2017,108.4
Oct 2017,58.4
Nov 2017,120
Dec 2017,69.4
Jan 2018,31.6
Feb 2018,34.2
Mar 2018,113.2
Apr 2018,38.8
May 2018,27.8
Jun 2018,26.2
Jul 2018,59
Aug 2018,30.8
Sep 2018,45.6
Oct 2018,83.8
Nov 2018,79.8
Dec 2018,54
Jan 2019,59.2
Feb 2019,29.8
Mar 2019,56.2
Apr 2019,47.4
May 2019,92.2
Jun 2019,72.8
Jul 2019,61
Aug 2019,79.8
Sep 2019,87
Oct 2019,90
Nov 2019,137.8
Dec 2019,45
Jan 2020,15.8
Feb 2020,49.4
Mar 2020,14
Apr 2020,12.8
May 2020,32.6
Jun 2020,84.8
Jul 2020,96.2
Aug 2020,55.8
Sep 2020,36
Oct 2020,171.6
Nov 2020,26.8
Dec 2020,145.6
Jan 2021,113.2
Feb 2021,50.2
Mar 2021,34.6
Apr 2021,36.6
May 2021,81.4
Jun 2021,16.4
Jul 2021,73.2
Aug 2021,44.4
Sep 2021,65.6
Oct 2021,130
Nov 2021,85.8
Dec 2021,75
Jan 2022,38.4
Feb 2022,64.6
Mar 2022,41.2
Apr 2022,90.2
May 2022,72.6
Jun 2022,23.4
Jul 2022,60.6
Aug 2022,35.8
Sep 2022,133.8
Oct 2022,89.6
Nov 2022,140.2
Dec 2022,115.2
Jan 2023,71.8
Feb 2023,28
Mar 2023,71
Apr 2023,62.2
May 2023,32.6
Jun 2023,49
Jul 2023,115.6
Aug 2023,46.8
Sep 2023,54.6
Oct 2023,234.2
Nov 2023,101.8
Dec 2023,177.6
Jan 2024,80.4
Feb 2024,80.6
Mar 2024,90.6
Apr 2024,114.2
May 2024,47
Jun 2024,50.2
Jul 2024,107.8
Aug 2024,44.4
Sep 2024,67
Oct 2024,56.8
Nov 2024,38.2
Dec 2024,126
Jan 2025,66.6
Feb 2025,31.2
Mar 2025,46.6
Apr 2025,9
May 2025,13.4
