Timestamp,Value
Jun 2015,38.2
Jul 2015,117.8
Aug 2015,36
Sep 2015,31.6
Oct 2015,34
Nov 2015,146.2
Dec 2015,205.8
Jan 2016,182
Feb 2016,75.2
Mar 2016,45.2
Apr 2016,66.2
May 2016,30.4
Jun 2016,58.6
Jul 2016,74.8
Aug 2016,71.8
Sep 2016,56.8
Oct 2016,28.6
Nov 2016,97.4
Dec 2016,52.4
Jan 2017,38
Feb 2017,82.8
Mar 2017,75.8
Apr 2017,15
May 2017,27.8
Jun 2017,82.6
Jul 2017,66.2
Aug 2017,76.6
Sep 2017,81.4
Oct 2017,59.4
Nov 2017,61.6
Dec 2017,54.2
Jan 2018,63
Feb 2018,35.2
Mar 2018,89.6
Apr 2018,76.4
May 2018,19.2
Jun 2018,81.6
Jul 2018,44.8
Aug 2018,68.2
Sep 2018,61
Oct 2018,46.4
Nov 2018,86.2
Dec 2018,44.4
Jan 2019,19.2
Feb 2019,24.4
Mar 2019,91.4
Apr 2019,40
May 2019,66
Jun 2019,76.6
Jul 2019,88.2
Aug 2019,96
Sep 2019,74.2
Oct 2019,82.6
Nov 2019,108.2
Dec 2019,59.2
Jan 2020,65
Feb 2020,143.2
Mar 2020,62.4
Apr 2020,6.6
May 2020,28.8
Jun 2020,81
Jul 2020,71.4
Aug 2020,120.2
Sep 2020,35.8
Oct 2020,129.8
Nov 2020,56.2
Dec 2020,100.8
Jan 2021,72.2
Feb 2021,75.2
Mar 2021,41.6
Apr 2021,21.6
May 2021,120.4
Jun 2021,20
Jul 2021,29.4
Aug 2021,81.2
Sep 2021,67.8
Oct 2021,150
Nov 2021,50.6
Dec 2021,72.2
Jan 2022,31.6
Feb 2022,125
Mar 2022,51
Apr 2022,33.8
May 2022,19
Jun 2022,11.6
Jul 2022,33.8
Aug 2022,62.6
Sep 2022,111
Oct 2022,83.8
Nov 2022,88.8
Dec 2022,69.2
Jan 2023,64
Feb 2023,30.6
Mar 2023,75.2
Apr 2023,36.8
May 2023,35
Jun 2023,36.4
Jul 2023,84.4
Aug 2023,53.6
Sep 2023,86.4
Oct 2023,22.4
Nov 2023,48.4
Dec 2023,136.4
Jan 2024,66.2
Feb 2024,51.2
Mar 2024,96.8
Apr 2024,96.4
May 2024,141.2
Jun 2024,56.6
Jul 2024,63.4
Aug 2024,74.8
Sep 2024,22
Oct 2024,63.4
Nov 2024,21
Dec 2024,54.4
Jan 2025,33.6
Feb 2025,35
Mar 2025,22.6
Apr 2025,21.8
May 2025,8.6
