Timestamp,Value
Sep 2015,25.6
Oct 2015,40.8
Nov 2015,216.4
Dec 2015,203.8
Jan 2016,150.4
Feb 2016,133.4
Mar 2016,41.4
Apr 2016,80
May 2016,46.4
Jun 2016,63
Jul 2016,112.4
Aug 2016,77.2
Sep 2016,106.2
Oct 2016,33.6
Nov 2016,70.8
Dec 2016,72.2
Jan 2017,40.8
Feb 2017,113.2
Mar 2017,104.6
Apr 2017,17
May 2017,49.8
Jun 2017,122.2
Jul 2017,96.8
Aug 2017,89
Sep 2017,86
Oct 2017,91.2
Nov 2017,70.4
Dec 2017,94
Jan 2018,135.8
Feb 2018,57
Mar 2018,73.6
Apr 2018,81.2
May 2018,25
Jun 2018,82
Jul 2018,48
Aug 2018,84.8
Sep 2018,86.8
Oct 2018,61.6
Nov 2018,106.2
Dec 2018,70
Jan 2019,37.8
Feb 2019,50.6
Mar 2019,124.6
Apr 2019,53
May 2019,81
Jun 2019,76.8
Jul 2019,93.8
Aug 2019,136.4
Sep 2019,108.2
Oct 2019,104
Nov 2019,67.4
Dec 2019,120.2
Jan 2020,113
Feb 2020,236.4
Mar 2020,77.8
Apr 2020,11
May 2020,49.4
Jun 2020,107.4
Jul 2020,144.4
Aug 2020,197.2
Sep 2020,61
Oct 2020,122.6
Nov 2020,91.8
Dec 2020,128.6
Jan 2021,77.6
Feb 2021,46.6
Mar 2021,67.8
Apr 2021,16.4
May 2021,94.4
Jun 2021,26.8
Jul 2021,28
Aug 2021,121.6
Sep 2021,99.8
Oct 2021,156.6
Nov 2021,61.8
Dec 2021,76.4
Jan 2022,33.2
Feb 2022,168.8
Mar 2022,33.6
Apr 2022,49
May 2022,59.8
Jun 2022,50.6
Jul 2022,46.4
Aug 2022,68
Sep 2022,123.8
Oct 2022,146
Nov 2022,98.4
Dec 2022,105.2
Jan 2023,110
Feb 2023,50
Mar 2023,85.6
Apr 2023,34.8
May 2023,32.4
Jun 2023,61.6
Jul 2023,111.2
Aug 2023,69.8
Sep 2023,123.8
Oct 2023,117.8
Nov 2023,62.4
Dec 2023,156.8
Jan 2024,92.6
Feb 2024,89.6
Mar 2024,105
Apr 2024,109.6
May 2024,98.4
Jun 2024,59.4
Jul 2024,82
Aug 2024,139.8
Sep 2024,73.4
Oct 2024,70.6
Nov 2024,35.8
Dec 2024,88.4
Jan 2025,60.2
Feb 2025,53.2
Mar 2025,35.2
Apr 2025,36.4
May 2025,74
Jun 2025,88.4
Jul 2025,64.2
Aug 2025,44
