Timestamp,Value
Jun 2015,55.2
Jul 2015,109.4
Aug 2015,33.6
Sep 2015,19.8
Oct 2015,29
Nov 2015,167.8
Dec 2015,212
Jan 2016,185.4
Feb 2016,130
Mar 2016,34.4
Apr 2016,68.2
May 2016,44.2
Jun 2016,7
Jul 2016,40.2
Aug 2016,25.6
Sep 2016,112.4
Oct 2016,46.4
Nov 2016,25.4
Dec 2016,79.6
Jan 2017,40.4
Feb 2017,141.4
Mar 2017,107.6
Apr 2017,15.8
May 2017,48.2
Jun 2017,136.2
Jul 2017,76
Aug 2017,105.2
Sep 2017,85.8
Oct 2017,125.6
Nov 2017,71.2
Dec 2017,97.6
Jan 2018,128
Feb 2018,51.2
Mar 2018,93
Apr 2018,94.8
May 2018,25
Jun 2018,65.4
Jul 2018,68.4
Aug 2018,70.6
Sep 2018,107
Oct 2018,78
Nov 2018,152.8
Dec 2018,77.2
Jan 2019,32.2
Feb 2019,68.2
Mar 2019,138.8
Apr 2019,46.8
May 2019,88.6
Jun 2019,71
Jul 2019,92.6
Aug 2019,173.6
Sep 2019,100.2
Oct 2019,116.8
Nov 2019,77.2
Dec 2019,149
Jan 2020,155.4
Feb 2020,263.4
Mar 2020,101.2
Apr 2020,19
May 2020,42.2
Jun 2020,124.2
Jul 2020,132.6
Aug 2020,188.8
Sep 2020,81
Oct 2020,134.2
Nov 2020,126
Dec 2020,133.6
Jan 2021,98
Feb 2021,114.6
Mar 2021,94.2
Apr 2021,14
May 2021,98.4
Jun 2021,26.4
Jul 2021,67.4
Aug 2021,87
Sep 2021,105.2
Oct 2021,173.2
Nov 2021,71.8
Dec 2021,91
Jan 2022,76.4
Feb 2022,221.4
Mar 2022,35.8
Apr 2022,38.8
May 2022,67.4
Jun 2022,41.4
Jul 2022,34.4
Aug 2022,79.4
Sep 2022,101.4
Oct 2022,154.2
Nov 2022,110.8
Dec 2022,132
Jan 2023,114.4
Feb 2023,61.8
Mar 2023,124.8
Apr 2023,44.4
May 2023,20.4
Jun 2023,65.4
Jul 2023,140.4
Aug 2023,88.8
Sep 2023,135.2
Oct 2023,199.6
Nov 2023,68.6
Dec 2023,200.4
Jan 2024,123.8
Feb 2024,98
Mar 2024,120.8
Apr 2024,149.6
May 2024,110
Jun 2024,66
Jul 2024,48.2
Aug 2024,156
Sep 2024,74.8
Oct 2024,70.8
Nov 2024,42.4
Dec 2024,107.8
Jan 2025,51
Feb 2025,74.6
Mar 2025,59.8
Apr 2025,35.8
May 2025,9
