Timestamp,Value
Sep 2015,57.8
Oct 2015,74.8
Nov 2015,185.6
Dec 2015,214.6
Jan 2016,187.4
Feb 2016,139.6
Mar 2016,78.6
Apr 2016,98.6
May 2016,38.8
Jun 2016,61.2
Jul 2016,88
Aug 2016,76.6
Sep 2016,106
Oct 2016,32.8
Nov 2016,95.4
Dec 2016,72.6
Jan 2017,68.6
Feb 2017,119.4
Mar 2017,97.8
Apr 2017,16
May 2017,69
Jun 2017,167.2
Jul 2017,127.8
Aug 2017,111
Sep 2017,159
Oct 2017,115.2
Nov 2017,99
Dec 2017,104
Jan 2018,136.8
Feb 2018,86.2
Mar 2018,96.8
Apr 2018,78.4
May 2018,47.8
Jun 2018,37.6
Jul 2018,48.4
Aug 2018,113.8
Sep 2018,61.2
Oct 2018,81
Nov 2018,174.4
Dec 2018,138.8
Jan 2019,57
Feb 2019,75.6
Mar 2019,161
Apr 2019,67
May 2019,51
Jun 2019,53.8
Jul 2019,102.6
Aug 2019,119
Sep 2019,166.2
Oct 2019,147.8
Nov 2019,111
Dec 2019,110.4
Jan 2020,84.6
Feb 2020,166.2
Mar 2020,45.6
Apr 2020,19.8
May 2020,21.8
Jun 2020,110.4
Jul 2020,153.8
Aug 2020,135.8
Sep 2020,102.2
Oct 2020,185.6
Nov 2020,147
Dec 2020,90.4
Jan 2021,125.8
Feb 2021,154.2
Mar 2021,67.4
Apr 2021,9.6
May 2021,126
Jun 2021,38.6
Jul 2021,24
Aug 2021,91.8
Sep 2021,70.2
Oct 2021,177.4
Nov 2021,83.4
Dec 2021,129.8
Jan 2022,50.6
Feb 2022,124.6
Mar 2022,60.6
Apr 2022,45.4
May 2022,74
Jun 2022,73.2
Jul 2022,77
Aug 2022,84.4
Sep 2022,139.8
Oct 2022,128.2
Nov 2022,154.4
Dec 2022,117.5
Jan 2023,149.6
Feb 2023,30.2
Mar 2023,140.4
Apr 2023,92.6
May 2023,36
Jun 2023,69.6
Jul 2023,169.2
Aug 2023,76.2
Sep 2023,142.8
Oct 2023,104.4
Nov 2023,124.6
Dec 2023,228.4
Jan 2024,80
Feb 2024,102.4
Mar 2024,134
Apr 2024,160.8
May 2024,93.8
Jun 2024,41.4
Jul 2024,68.4
Aug 2024,184.6
Sep 2024,58.2
Oct 2024,110.4
Nov 2024,61.8
Dec 2024,132.4
Jan 2025,76.8
Feb 2025,54.6
Mar 2025,40.2
Apr 2025,34.8
May 2025,56.4
Jun 2025,93.8
Jul 2025,81.2
Aug 2025,50.8
