Timestamp,Value
Jun 2015,108.6
Jul 2015,202
Aug 2015,130
Sep 2015,40.2
Oct 2015,82.4
Nov 2015,318
Dec 2015,331.8
Jan 2016,232.6
Feb 2016,233
Mar 2016,103.2
Apr 2016,113
May 2016,106.4
Jun 2016,72.8
Jul 2016,141.6
Aug 2016,124.2
Sep 2016,172.8
Oct 2016,48.6
Nov 2016,112.4
Dec 2016,117.6
Jan 2017,72.4
Feb 2017,169.2
Mar 2017,153.4
Apr 2017,32
May 2017,67.2
Jun 2017,173.2
Jul 2017,102.4
Aug 2017,151.8
Sep 2017,162.6
Oct 2017,222
Nov 2017,136.2
Dec 2017,141
Jan 2018,240.4
Feb 2018,80
Mar 2018,99.2
Apr 2018,105.6
May 2018,44
Jun 2018,77.2
Jul 2018,92.2
Aug 2018,142
Sep 2018,152.6
Oct 2018,171.4
Nov 2018,222.8
Dec 2018,121.6
Jan 2019,79
Feb 2019,116.4
Mar 2019,204.8
Apr 2019,41.4
May 2019,84.8
Jun 2019,82.6
Jul 2019,127
Aug 2019,282
Sep 2019,157.2
Oct 2019,188
Nov 2019,70.6
Dec 2019,243.6
Jan 2020,204.8
Feb 2020,326.6
Mar 2020,132.4
Apr 2020,22.6
May 2020,76
Jun 2020,182.6
Jul 2020,199.4
Aug 2020,191.4
Sep 2020,157.4
Oct 2020,203.8
Nov 2020,218.8
Dec 2020,155.2
Jan 2021,136.2
Feb 2021,149.8
Mar 2021,131.2
Apr 2021,16.6
May 2021,89
Jun 2021,36.6
Jul 2021,30.2
Aug 2021,79.8
Sep 2021,119.8
Oct 2021,275
Nov 2021,124.6
Dec 2021,140.2
Jan 2022,119
Feb 2022,264
Mar 2022,46.6
Apr 2022,66.2
May 2022,120
Jun 2022,80.2
Jul 2022,70.8
Aug 2022,93.8
Sep 2022,128.4
Oct 2022,239.2
Nov 2022,162.4
Dec 2022,139.2
Jan 2023,229.8
Feb 2023,105.6
Mar 2023,175.8
Apr 2023,57.4
May 2023,37.2
Jun 2023,73.2
Jul 2023,172.8
Aug 2023,118.6
Sep 2023,166.2
Oct 2023,147.6
Nov 2023,125.8
Dec 2023,253.8
Jan 2024,165
Feb 2024,170
Mar 2024,162
Apr 2024,187.2
May 2024,99.4
Jun 2024,63.4
Jul 2024,76.8
Aug 2024,321.6
Sep 2024,72.6
Oct 2024,132.4
Nov 2024,75
Dec 2024,191.6
Jan 2025,76.6
Feb 2025,102.4
Mar 2025,86.6
Apr 2025,52
May 2025,8.4
