Timestamp,Value
Sep 2015,26.4
Oct 2015,65
Nov 2015,232.2
Dec 2015,397.2
Jan 2016,196.8
Feb 2016,135.2
Mar 2016,67.8
Apr 2016,57.2
May 2016,65.4
Jun 2016,118
Jul 2016,91
Aug 2016,85.6
Sep 2016,108.4
Oct 2016,39.2
Nov 2016,57.6
Dec 2016,151.2
Jan 2017,64
Feb 2017,121
Mar 2017,99
Apr 2017,39.6
May 2017,36.8
Jun 2017,106.2
Jul 2017,66.6
Aug 2017,99
Sep 2017,102.6
Oct 2017,141.4
Nov 2017,119.4
Dec 2017,77
Jan 2018,162.6
Feb 2018,49.2
Mar 2018,35.4
Apr 2018,38.4
May 2018,26.6
Jun 2018,60.2
Jul 2018,55.4
Aug 2018,49.6
Sep 2018,161.2
Oct 2018,147.6
Nov 2018,159
Dec 2018,99.2
Jan 2019,90.6
Feb 2019,84.2
Mar 2019,163.6
Apr 2019,38
May 2019,87.6
Jun 2019,68.4
Jul 2019,152.4
Aug 2019,186
Sep 2019,70
Oct 2019,139.6
Nov 2019,62.4
Dec 2019,176.6
Jan 2020,258.8
Feb 2020,294
Mar 2020,103.6
Apr 2020,17.6
May 2020,53.6
Jun 2020,152.6
Jul 2020,107.6
Aug 2020,60.4
Sep 2020,106.6
Oct 2020,195.8
Nov 2020,142.2
Dec 2020,171.4
Jan 2021,80.4
Feb 2021,89.2
Mar 2021,145.2
Apr 2021,17
May 2021,102.8
Jun 2021,21.4
Jul 2021,118.6
Aug 2021,64.6
Sep 2021,83.2
Oct 2021,131.8
Nov 2021,109.8
Dec 2021,91.6
Jan 2022,99.6
Feb 2022,229
Mar 2022,48.6
Apr 2022,61.8
May 2022,101
Jun 2022,49.8
Jul 2022,82.8
Aug 2022,67.8
Sep 2022,64.4
Oct 2022,179.4
Nov 2022,144
Dec 2022,91.8
Jan 2023,155.6
Feb 2023,82.4
Mar 2023,79.8
Apr 2023,49.2
May 2023,41.8
Jun 2023,52.4
Jul 2023,143.2
Aug 2023,92.8
Sep 2023,118
Oct 2023,167.8
Nov 2023,76.8
Dec 2023,167
Jan 2024,166.2
Feb 2024,137.2
Mar 2024,63.8
Apr 2024,105.2
May 2024,39.4
Jun 2024,72
Jul 2024,38.6
Aug 2024,123.8
Sep 2024,57.8
Oct 2024,103.6
Nov 2024,42.8
Dec 2024,228.8
Jan 2025,55.6
Feb 2025,89.2
Mar 2025,73.4
Apr 2025,30.8
May 2025,60.4
Jun 2025,76
Jul 2025,77.4
Aug 2025,51.2
