Timestamp,Value
Sep 2015,22.2
Oct 2015,40
Nov 2015,122
Dec 2015,109.4
Jan 2016,121.6
Feb 2016,38.8
Mar 2016,17.8
Apr 2016,87.2
May 2016,19.4
Jun 2016,50
Jul 2016,53
Aug 2016,0
Sep 2016,17.4
Oct 2016,43
Nov 2016,54.6
Dec 2016,39.4
Jan 2017,32
Feb 2017,61.6
Mar 2017,43
Apr 2017,9
May 2017,41.6
Jun 2017,130.4
Jul 2017,66.4
Aug 2017,80.4
Sep 2017,61.8
Oct 2017,44.8
Nov 2017,38
Dec 2017,40.2
Jan 2018,68
Feb 2018,27.2
Mar 2018,82
Apr 2018,53
May 2018,28.2
Jun 2018,35.2
Jul 2018,45
Aug 2018,63.6
Sep 2018,49.2
Oct 2018,30
Nov 2018,49.2
Dec 2018,35.2
Jan 2019,9.2
Feb 2019,18.2
Mar 2019,66.8
Apr 2019,33.6
May 2019,73
Jun 2019,55.6
Jul 2019,81
Aug 2019,135
Sep 2019,54
Oct 2019,80
Nov 2019,108
Dec 2019,47.2
Jan 2020,37.8
Feb 2020,101.2
Mar 2020,24.4
Apr 2020,3.6
May 2020,17.8
Jun 2020,63
Jul 2020,84
Aug 2020,73.8
Sep 2020,44
Oct 2020,120.8
Nov 2020,48.4
Dec 2020,89.2
Jan 2021,83.2
Feb 2021,71
Mar 2021,27
Apr 2021,6.8
May 2021,104.4
Jun 2021,20.6
Jul 2021,33
Aug 2021,36.6
Sep 2021,49.6
Oct 2021,121.8
Nov 2021,46.4
Dec 2021,69
Jan 2022,18.2
Feb 2022,64.2
Mar 2022,23.2
Apr 2022,34.4
May 2022,43
Jun 2022,27.6
Jul 2022,33.2
Aug 2022,26.2
Sep 2022,86
Oct 2022,66.6
Nov 2022,94.8
Dec 2022,88.2
Jan 2023,40.2
Feb 2023,22
Mar 2023,81
Apr 2023,29.8
May 2023,22.6
Jun 2023,53.4
Jul 2023,91.8
Aug 2023,32
Sep 2023,49.8
Oct 2023,143.4
Nov 2023,68.6
Dec 2023,130.2
Jan 2024,64.4
Feb 2024,43.2
Mar 2024,73.2
Apr 2024,84.2
May 2024,71.6
Jun 2024,28.6
Jul 2024,61.4
Aug 2024,67.2
Sep 2024,10.6
Oct 2024,73.4
Nov 2024,25
Dec 2024,52.8
Jan 2025,27
Feb 2025,26.8
Mar 2025,13.4
Apr 2025,12.8
May 2025,37.8
Jun 2025,63.2
Jul 2025,51.8
Aug 2025,23.6
