Timestamp,Value
May 2017,14
Jun 2017,169.4
Jul 2017,107.8
Aug 2017,162.4
Sep 2017,178.4
Oct 2017,216
Nov 2017,144.6
Dec 2017,138.4
Jan 2018,202.8
Feb 2018,77.4
Mar 2018,76.2
Apr 2018,75.8
May 2018,43.4
Jun 2018,71.8
Jul 2018,80.6
Aug 2018,140.6
Sep 2018,140.2
Oct 2018,147.2
Nov 2018,183.2
Dec 2018,114.6
Jan 2019,85.8
Feb 2019,93
Mar 2019,181.2
Apr 2019,40.8
May 2019,89
Jun 2019,77.2
Jul 2019,121.6
Aug 2019,272.4
Sep 2019,163
Oct 2019,176.8
Nov 2019,64.4
Dec 2019,207.8
Jan 2020,164.2
Feb 2020,277.4
Mar 2020,112.4
Apr 2020,22.4
May 2020,70.6
Jun 2020,168
Jul 2020,205.8
Aug 2020,181.2
Sep 2020,144
Oct 2020,203
Nov 2020,200.8
Dec 2020,137.8
Jan 2021,124.4
Feb 2021,101
Mar 2021,97.8
Apr 2021,17.2
May 2021,64.8
Jun 2021,45.6
Jul 2021,19.2
Aug 2021,96.6
Sep 2021,116.8
Oct 2021,269
Nov 2021,117.8
Dec 2021,135
Jan 2022,110.4
Feb 2022,255.6
Mar 2022,47.6
Apr 2022,72
May 2022,118.4
Jun 2022,81
Jul 2022,80.4
Aug 2022,80.4
Sep 2022,155.2
Oct 2022,230.2
Nov 2022,128.8
Dec 2022,126
Jan 2023,194.6
Feb 2023,72.6
Mar 2023,148
Apr 2023,71.6
May 2023,45.8
Jun 2023,87
Jul 2023,177
Aug 2023,99
Sep 2023,151.2
Oct 2023,134.4
Nov 2023,114
Dec 2023,255.8
Jan 2024,136.2
Feb 2024,154
Mar 2024,132.4
Apr 2024,153.8
May 2024,101.8
Jun 2024,58.6
Jul 2024,71.2
Aug 2024,310.6
Sep 2024,64.4
Oct 2024,121.8
Nov 2024,61
Dec 2024,174.4
Jan 2025,52
Feb 2025,88.6
Mar 2025,64
Apr 2025,45.8
May 2025,155.4
Jun 2025,131
Jul 2025,92.4
Aug 2025,92
