Timestamp,Value
Jun 2015,63.2
Jul 2015,182.8
Aug 2015,109.6
Sep 2015,48.8
Oct 2015,145
Nov 2015,113.6
Dec 2015,281.6
Jan 2016,474.4
Feb 2016,95.8
Mar 2016,70.4
Apr 2016,63.6
May 2016,4.2
Jun 2016,127.4
Jul 2016,74.6
Aug 2016,62.4
Sep 2016,74.4
Oct 2016,119
Nov 2016,90.6
Dec 2016,64.6
Jan 2017,52.2
Feb 2017,145
Mar 2017,102.4
Apr 2017,21.6
May 2017,40
Jun 2017,112.2
Jul 2017,77
Aug 2017,120.6
Sep 2017,132
Oct 2017,82
Nov 2017,91
Dec 2017,50.2
Jan 2018,95.2
Feb 2018,54.4
Mar 2018,180
Apr 2018,51.6
May 2018,58.6
Jun 2018,43.4
Jul 2018,86.2
Aug 2018,54.2
Sep 2018,59.6
Oct 2018,102
Nov 2018,233.6
Dec 2018,92.2
Jan 2019,41
Feb 2019,54
Mar 2019,100.6
Apr 2019,64
May 2019,150.2
Jun 2019,91.6
Jul 2019,119.8
Aug 2019,191
Sep 2019,131.8
Oct 2019,97.6
Nov 2019,249.6
Dec 2019,100.2
Jan 2020,71
Feb 2020,214.6
Mar 2020,53.2
Apr 2020,15.2
May 2020,49.8
Jun 2020,94.2
Jul 2020,111.2
Aug 2020,120
Sep 2020,65.2
Oct 2020,285.2
Nov 2020,93.6
Dec 2020,228.4
Jan 2021,89.8
Feb 2021,219.2
Mar 2021,89.2
Apr 2021,20.6
May 2021,223.6
Jun 2021,23.6
Jul 2021,119.6
Aug 2021,130.2
Sep 2021,68
Oct 2021,158.8
Nov 2021,68.4
Dec 2021,130.4
Jan 2022,28.8
Feb 2022,107.6
Mar 2022,84.6
Apr 2022,39.2
May 2022,69.2
Jun 2022,45.8
Jul 2022,50
Aug 2022,69.8
Sep 2022,185.8
Oct 2022,157.2
Nov 2022,363.8
Dec 2022,193.4
Jan 2023,88.6
Feb 2023,40.2
Mar 2023,96.6
Apr 2023,112
May 2023,42.4
Jun 2023,16
Jul 2023,0
Aug 2023,0
Sep 2023,0
Oct 2023,388.2
Nov 2023,122
Dec 2023,320.2
Jan 2024,177
Feb 2024,46.4
Mar 2024,152.6
Apr 2024,159.4
May 2024,65
Jun 2024,43.4
Jul 2024,115.8
Aug 2024,105.8
Sep 2024,22.4
Oct 2024,96.2
Nov 2024,58.8
Dec 2024,124.6
Jan 2025,59.8
Feb 2025,110.6
Mar 2025,41.8
Apr 2025,31
May 2025,6.2
