Timestamp,Value
Sep 2015,20.2
Oct 2015,63.4
Nov 2015,240.8
Dec 2015,210
Jan 2016,165.2
Feb 2016,134.2
Mar 2016,41
Apr 2016,60.6
May 2016,65.8
Jun 2016,57
Jul 2016,115
Aug 2016,73.8
Sep 2016,123.4
Oct 2016,33
Nov 2016,80
Dec 2016,80.4
Jan 2017,53
Feb 2017,101
Mar 2017,100.6
Apr 2017,17.2
May 2017,56.6
Jun 2017,111.6
Jul 2017,85.6
Aug 2017,107.6
Sep 2017,98
Oct 2017,102.8
Nov 2017,61.8
Dec 2017,92.8
Jan 2018,126.4
Feb 2018,36.6
Mar 2018,88
Apr 2018,63.8
May 2018,19.4
Jun 2018,91.6
Jul 2018,29.6
Aug 2018,71.8
Sep 2018,93.4
Oct 2018,74.2
Nov 2018,127.2
Dec 2018,94.4
Jan 2019,41.4
Feb 2019,62.2
Mar 2019,122.2
Apr 2019,26.8
May 2019,72.2
Jun 2019,78.8
Jul 2019,98
Aug 2019,147.6
Sep 2019,98.2
Oct 2019,109.6
Nov 2019,52.2
Dec 2019,122
Jan 2020,107.2
Feb 2020,222.8
Mar 2020,74.4
Apr 2020,18.2
May 2020,41.4
Jun 2020,104.6
Jul 2020,150.2
Aug 2020,151.6
Sep 2020,100.8
Oct 2020,140.2
Nov 2020,119.4
Dec 2020,112.8
Jan 2021,97.6
Feb 2021,95.2
Mar 2021,79
Apr 2021,9.4
May 2021,56.4
Jun 2021,22
Jul 2021,8.8
Aug 2021,113.8
Sep 2021,116
Oct 2021,179.8
Nov 2021,66.6
Dec 2021,81.8
Jan 2022,67.8
Feb 2022,177
Mar 2022,33.8
Apr 2022,43.8
May 2022,76
Jun 2022,72.4
Jul 2022,62.4
Aug 2022,77.4
Sep 2022,126.6
Oct 2022,192.8
Nov 2022,118.6
Dec 2022,132.2
Jan 2023,136.8
Feb 2023,61.4
Mar 2023,122.6
Apr 2023,50
May 2023,36.8
Jun 2023,74.2
Jul 2023,149.8
Aug 2023,79.6
Sep 2023,135.8
Oct 2023,143
Nov 2023,79.8
Dec 2023,189
Jan 2024,113.2
Feb 2024,103.4
Mar 2024,98
Apr 2024,123
May 2024,100.2
Jun 2024,46.6
Jul 2024,58.4
Aug 2024,207.2
Sep 2024,60
Oct 2024,79
Nov 2024,45
Dec 2024,129
Jan 2025,49.4
Feb 2025,72
Mar 2025,50.2
Apr 2025,51.2
May 2025,100.8
Jun 2025,92.6
Jul 2025,62.6
Aug 2025,59
