Timestamp,Value
Sep 2015,29.6
Oct 2015,35.2
Nov 2015,145.6
Dec 2015,98
Jan 2016,167.4
Feb 2016,102.4
Mar 2016,59.6
Apr 2016,70
May 2016,41.2
Jun 2016,57
Jul 2016,117.8
Aug 2016,71.2
Sep 2016,80.8
Oct 2016,43.2
Nov 2016,93
Dec 2016,106
Jan 2017,81.4
Feb 2017,62
Mar 2017,105.4
Apr 2017,82.6
May 2017,55.6
Jun 2017,101.2
Jul 2017,73.2
Aug 2017,69.4
Sep 2017,74.8
Oct 2017,88
Nov 2017,158.2
Dec 2017,119.4
Jan 2018,95
Feb 2018,43.8
Mar 2018,60.8
Apr 2018,42
May 2018,37.6
Jun 2018,19.8
Jul 2018,43
Aug 2018,45
Sep 2018,146.8
Oct 2018,125.8
Nov 2018,40.4
Dec 2018,49
Jan 2019,115.2
Feb 2019,53
Mar 2019,91.6
Apr 2019,27.2
May 2019,74.4
Jun 2019,78.6
Jul 2019,111.6
Aug 2019,126.4
Sep 2019,53.2
Oct 2019,71.4
Nov 2019,78
Dec 2019,81.2
Jan 2020,84.8
Feb 2020,137.4
Mar 2020,61.2
Apr 2020,27.8
May 2020,63
Jun 2020,66.6
Jul 2020,53.8
Aug 2020,24
Sep 2020,56.4
Oct 2020,158.4
Nov 2020,64.8
Dec 2020,83.4




May 2021,45
Jun 2021,20.8
Jul 2021,35.6
Aug 2021,36.2
Sep 2021,103
Oct 2021,142.6
Nov 2021,159.4
Dec 2021,56.6
Jan 2022,62.6
Feb 2022,45.8


May 2022,61
Jun 2022,22.6
Jul 2022,79.8
Aug 2022,68.4
Sep 2022,69.6
Oct 2022,78.6
Nov 2022,61.4
Dec 2022,134
Jan 2023,117.8
Feb 2023,75.2
Mar 2023,71.8
Apr 2023,39.4
May 2023,24.6
Jun 2023,39.6
Jul 2023,99.4
Aug 2023,94
Sep 2023,71.8
Oct 2023,112.2
Nov 2023,60.8
Dec 2023,165.6
Jan 2024,106.4
Feb 2024,86
Mar 2024,51
Apr 2024,57.4
May 2024,31.4
Jun 2024,65
Jul 2024,39.6
Aug 2024,52.2
Sep 2024,83
Oct 2024,74.4
Nov 2024,55.6
Dec 2024,170
Jan 2025,72.4
Feb 2025,18
Mar 2025,54.6
Apr 2025,35.2
May 2025,44.4
Jun 2025,95.6
Jul 2025,39
Aug 2025,44.2
