Timestamp,Value
Sep 2015,46.8
Oct 2015,150
Nov 2015,343.8
Dec 2015,591.2
Jan 2016,368.4
Feb 2016,205
Mar 2016,119.8
Apr 2016,120.4
May 2016,98.4
Jun 2016,79.2
Jul 2016,114.4
Aug 2016,99.4
Sep 2016,254
Oct 2016,62.6
Nov 2016,83.4
Dec 2016,184.2
Jan 2017,75.8
Feb 2017,238.6
Mar 2017,145.6
Apr 2017,19
May 2017,71.4
Jun 2017,177.2
Jul 2017,109.4
Aug 2017,182.8
Sep 2017,176.8
Oct 2017,209
Nov 2017,110.4
Dec 2017,142.4
Jan 2018,230.2
Feb 2018,94.2
Mar 2018,122.2
Apr 2018,135.8
May 2018,73.2
Jun 2018,131.8
Jul 2018,77.4
Aug 2018,79.4
Sep 2018,170.8
Oct 2018,177.8
Nov 2018,334.8
Dec 2018,144.8
Jan 2019,28.4
Feb 2019,133.4
Mar 2019,223.8
Apr 2019,24.8
May 2019,91.4
Jun 2019,127.8
Jul 2019,125
Aug 2019,246.8
Sep 2019,151
Oct 2019,232.4
Nov 2019,113.4
Dec 2019,331.2
Jan 2020,327.8
Feb 2020,474
Mar 2020,176.8
Apr 2020,46.4
May 2020,103
Jun 2020,162.6
Jul 2020,140.2
Aug 2020,203
Sep 2020,157.4
Oct 2020,330
Nov 2020,287
Dec 2020,297.2
Jan 2021,104.9
Feb 2021,215.6
Mar 2021,226.4
Apr 2021,26.4
May 2021,140.6
Jun 2021,69.2
Jul 2021,63.2
Aug 2021,113.8
Sep 2021,105.6
Oct 2021,305.4
Nov 2021,110.4
Dec 2021,148.2
Jan 2022,106.4
Feb 2022,360.2
Mar 2022,131.6
Apr 2022,57.4
May 2022,180.4
Jun 2022,161.4
Jul 2022,87.6
Aug 2022,121.2
Sep 2022,170.2
Oct 2022,348
Nov 2022,299.6
Dec 2022,190.4
Jan 2023,183.2
Feb 2023,71.8
Mar 2023,191
Apr 2023,112.6
May 2023,42.4
Jun 2023,74.6
Jul 2023,234.8
Aug 2023,104.8
Sep 2023,225.6
Oct 2023,295.2
Nov 2023,142.6
Dec 2023,342.2
Jan 2024,263.4
Feb 2024,186
Mar 2024,157.4
Apr 2024,197.4
May 2024,145.8
Jun 2024,83.6
Jul 2024,70
Aug 2024,283
Sep 2024,59.4
Oct 2024,144.4
Nov 2024,87
Dec 2024,280.2
Jan 2025,106.6
Feb 2025,188.8
Mar 2025,101.4
Apr 2025,73.2
May 2025,87
Jun 2025,127.4
Jul 2025,94.8
Aug 2025,111.2
