Timestamp,Value
Jun 2015,48.2
Jul 2015,93.2
Aug 2015,84.2
Sep 2015,42.4
Oct 2015,59.6
Nov 2015,53.6
Dec 2015,117.4
Jan 2016,239.2
Feb 2016,38.4
Mar 2016,40.6
Apr 2016,70.2
May 2016,30
Jun 2016,110
Jul 2016,71
Aug 2016,54
Sep 2016,19
Oct 2016,91.6
Nov 2016,93.2
Dec 2016,34
Jan 2017,33
Feb 2017,42.2
Mar 2017,38.8
Apr 2017,32.4
May 2017,15.6
Jun 2017,88.2
Jul 2017,58.8
Aug 2017,56
Sep 2017,84.2
Oct 2017,43.8
Nov 2017,98.4
Dec 2017,28
Jan 2018,23
Feb 2018,30.2
Mar 2018,109.8
Apr 2018,34.8
May 2018,22.6
Jun 2018,22.6
Jul 2018,40.8
Aug 2018,41.8
Sep 2018,36.4
Oct 2018,72.4
Nov 2018,101.6
Dec 2018,47.2
Jan 2019,28.8
Feb 2019,15.8
Mar 2019,48.8
Apr 2019,48.2
May 2019,108.6
Jun 2019,70.6
Jul 2019,60.8
Aug 2019,78.2
Sep 2019,66
Oct 2019,59.2
Nov 2019,149.4
Dec 2019,39.4
Jan 2020,19.6
Feb 2020,62.2
Mar 2020,15.8
Apr 2020,10.4
May 2020,36.4
Jun 2020,51.6
Jul 2020,69.6
Aug 2020,61.2
Sep 2020,19.4
Oct 2020,144.8
Nov 2020,22.6
Dec 2020,103.2
Jan 2021,59
Feb 2021,83.6
Mar 2021,25
Apr 2021,21.4
May 2021,154.6
Jun 2021,14.6
Jul 2021,100.2
Aug 2021,93.6
Sep 2021,73
Oct 2021,107
Nov 2021,73.6
Dec 2021,70
Jan 2022,15.8
Feb 2022,40.8
Mar 2022,36.2
Apr 2022,57.4
May 2022,47.8
Jun 2022,16.8
Jul 2022,53.2
Aug 2022,52
Sep 2022,102.6
Oct 2022,58.8
Nov 2022,158.6
Dec 2022,69.8
Jan 2023,41
Feb 2023,28.2
Mar 2023,69.2
Apr 2023,66.6
May 2023,48.4
Jun 2023,35
Jul 2023,96
Aug 2023,57.4
Sep 2023,76.8
Oct 2023,270
Nov 2023,75.4
Dec 2023,168.6
Jan 2024,60.2
Feb 2024,37.8
Mar 2024,68
Apr 2024,73.4
May 2024,83.6
Jun 2024,38.2
Jul 2024,104.8
Aug 2024,41
Sep 2024,45
Oct 2024,59.8
Nov 2024,26
Dec 2024,99.8
Jan 2025,48.8
Feb 2025,37.4
Mar 2025,25.8
Apr 2025,13.8
May 2025,1.8
