Timestamp,Value
Jun 2015,78.6
Jul 2015,144.8
Aug 2015,102
Sep 2015,36.8
Oct 2015,52.4
Nov 2015,229
Dec 2015,452
Jan 2016,278.4
Feb 2016,135.8
Mar 2016,83.8
Apr 2016,79.8
May 2016,39.6
Jun 2016,58.8
Jul 2016,115.8
Aug 2016,82.6
Sep 2016,113.8
Oct 2016,43.8
Nov 2016,77.8
Dec 2016,97.4
Jan 2017,52.4
Feb 2017,138.4
Mar 2017,150.8
Apr 2017,25.2
May 2017,67.8
Jun 2017,122.6
Jul 2017,99.6
Aug 2017,125.8
Sep 2017,89.8
Oct 2017,131.8
Nov 2017,83
Dec 2017,97.6
Jan 2018,177
Feb 2018,60.4
Mar 2018,98.4
Apr 2018,112.4
May 2018,37
Jun 2018,66.6
Jul 2018,91.2
Aug 2018,102.2
Sep 2018,119.6
Oct 2018,115
Nov 2018,194.6
Dec 2018,94
Jan 2019,34.2
Feb 2019,96.8
Mar 2019,183
Apr 2019,60
May 2019,60
Jun 2019,98.8
Jul 2019,121
Aug 2019,204.6
Sep 2019,111.6
Oct 2019,88.8
Nov 2019,91.8
Dec 2019,123
Jan 2020,181
Feb 2020,346.6
Mar 2020,108.4
Apr 2020,14.4
May 2020,32.8
Jun 2020,105.2
Jul 2020,118.8
Aug 2020,162.8
Sep 2020,58.6
Oct 2020,153.2
Nov 2020,113.6
Dec 2020,165.8
Jan 2021,112.4
Feb 2021,200
Mar 2021,139.4
Apr 2021,15.2
May 2021,108
Jun 2021,28.6
Jul 2021,47.4
Aug 2021,66.4
Sep 2021,80.2
Oct 2021,237.6
Nov 2021,81
Dec 2021,74.4
Jan 2022,52.2
Feb 2022,207
Mar 2022,52.2
Apr 2022,36.8
May 2022,87.8
Jun 2022,54
Jul 2022,52.8
Aug 2022,52.2
Sep 2022,115.6
Oct 2022,149.2
Nov 2022,161.6
Dec 2022,170
Jan 2023,163.6
Feb 2023,40.8
Mar 2023,167.4
Apr 2023,52.8
May 2023,22
Jun 2023,61
Jul 2023,140
Aug 2023,113.4
Sep 2023,169.8
Oct 2023,34.2
Nov 2023,55.8
Dec 2023,256.8
Jan 2024,182.8
Feb 2024,104.2
Mar 2024,151.2
Apr 2024,140.8
May 2024,114.8
Jun 2024,52.8
Jul 2024,107.2
Aug 2024,219.8
Sep 2024,31.2
Oct 2024,126.4
Nov 2024,51
Dec 2024,141.6
Jan 2025,74.2
Feb 2025,95
Mar 2025,40.4
Apr 2025,36
May 2025,5.4
