Timestamp,Value
Jun 2015,83.7
Jul 2015,150.5
Aug 2015,126.8
Sep 2015,125.4
Oct 2015,86
Nov 2015,82.1
Dec 2015,179.4
Jan 2016,214.2
Feb 2016,60.2
Mar 2016,64.6
Apr 2016,81.2
May 2016,55.6
Jun 2016,147.3
Jul 2016,168.3
Aug 2016,95.3
Sep 2016,54.7
Oct 2016,137
Nov 2016,139.8
Dec 2016,65.9
Jan 2017,68.4
Feb 2017,52.5
Mar 2017,54.4
Apr 2017,41.3
May 2017,51.1
Jun 2017,136.9
Jul 2017,73.4
Aug 2017,90.9
Sep 2017,171.9
Oct 2017,77
Nov 2017,110
Dec 2017,51.4
Jan 2018,46.4
Feb 2018,52.9
Mar 2018,57.3
Apr 2018,33.8
May 2018,24.4
Jun 2018,44.9
Jul 2018,68.1
Aug 2018,73.5
Sep 2018,85.8
Oct 2018,96.3
Nov 2018,142.3
Dec 2018,58.6
Jan 2019,48.2
Feb 2019,130.3
Mar 2019,71.3
Apr 2019,39
May 2019,155.6
Jun 2019,87.1
Jul 2019,133.1
Aug 2019,104.8
Sep 2019,106.8
Oct 2019,76.9
Nov 2019,155.2
Dec 2019,71.1
Jan 2020,52.1
Feb 2020,87
Mar 2020,23.3
Apr 2020,23.1
May 2020,52.7
Jun 2020,84.9
Jul 2020,147.4
Aug 2020,79.8
Sep 2020,52.4
Oct 2020,197.4
Nov 2020,35.9
Dec 2020,135.4
Jan 2021,267.7
Feb 2021,160.4
Mar 2021,41
Apr 2021,33
May 2021,134.3
Jun 2021,24.6
Jul 2021,94
Aug 2021,111
Sep 2021,83.2
Oct 2021,150.2
Nov 2021,78.7
Dec 2021,97.7
Jan 2022,24.3
Feb 2022,70.1
Mar 2022,44.4
Apr 2022,72.5
May 2022,67.7
Jun 2022,37.8
Jul 2022,83.4
Aug 2022,61.2
Sep 2022,189.5
Oct 2022,100
Nov 2022,171.9
Dec 2022,151.7
Jan 2023,271
Feb 2023,42.2
Mar 2023,76.9
Apr 2023,71.1
May 2023,37
Jun 2023,61.3
Jul 2023,134.3
Aug 2023,86.1
Sep 2023,104.6
Oct 2023,319.2
Nov 2023,128.5
Dec 2023,235.4
Jan 2024,85.4
Feb 2024,64.6
Mar 2024,83.1
Apr 2024,91.4
May 2024,89
Jun 2024,91.3
Jul 2024,129.7
Aug 2024,58.9
Sep 2024,101.9
Oct 2024,81.1
Nov 2024,50.3
Dec 2024,119
Jan 2025,889.4
Feb 2025,50
Mar 2025,34.9
Apr 2025,19.1
May 2025,10.7
