Timestamp,Value
Jun 2015,51.6
Jul 2015,140.8
Aug 2015,47.4
Sep 2015,0.4
Oct 2015,68
Nov 2015,78.6
Dec 2015,51.4
Jan 2016,72.6
Feb 2016,96.2
Mar 2016,29.6
Apr 2016,69.6
May 2016,59.2
Jun 2016,76.6
Jul 2016,107.2
Aug 2016,79.4
Sep 2016,106.2
Oct 2016,2.2
Nov 2016,1.4
Dec 2016,80.6
Jan 2017,39
Feb 2017,99.8
Mar 2017,95.8
Apr 2017,7.2
May 2017,42.8
Jun 2017,118
Jul 2017,79.2
Aug 2017,118.6
Sep 2017,95
Oct 2017,73.2
Nov 2017,45.6
Dec 2017,70.8
Jan 2018,134.4
Feb 2018,42.8
Mar 2018,72.6
Apr 2018,52
May 2018,23.8
Jun 2018,51.8
Jul 2018,62
Aug 2018,76.8
Sep 2018,84.4
Oct 2018,56
Nov 2018,127.4
Dec 2018,72.4
Jan 2019,16.8
Feb 2019,49.4
Mar 2019,89
Apr 2019,52.8
May 2019,71.2
Jun 2019,95.6
Jul 2019,107.2
Aug 2019,165.4
Sep 2019,109.6
Oct 2019,83.4
Nov 2019,81.4
Dec 2019,109.8
Jan 2020,108.6
Feb 2020,185.4
Mar 2020,62.2
Apr 2020,17.8
May 2020,35.6
Jun 2020,98
Jul 2020,139.6
Aug 2020,142.4
Sep 2020,78
Oct 2020,125.8
Nov 2020,81
Dec 2020,138.2
Jan 2021,93.2
Feb 2021,118.6
Mar 2021,68.2
Apr 2021,6.4
May 2021,102.2
Jun 2021,33.2
Jul 2021,67.8
Aug 2021,74.6
Sep 2021,98.2
Oct 2021,153
Nov 2021,62.8
Dec 2021,86.2
Jan 2022,33.2
Feb 2022,161
Mar 2022,31.4
Apr 2022,28.4
May 2022,52.8
Jun 2022,42.2
Jul 2022,50
Aug 2022,117.8
Sep 2022,121.6
Oct 2022,141.6
Nov 2022,94.2
Dec 2022,135.2
Jan 2023,119.2
Feb 2023,42.4
Mar 2023,127.6
Apr 2023,51.4
May 2023,32.6
Jun 2023,76
Jul 2023,141.4
Aug 2023,62.4
Sep 2023,132.8
Oct 2023,167.4
Nov 2023,57.8
Dec 2023,149
Jan 2024,123.8
Feb 2024,69.6
Mar 2024,83.4
Apr 2024,105
May 2024,86.4
Jun 2024,44.2
Jul 2024,57.4
Aug 2024,157.8
Sep 2024,43.8
Oct 2024,73.4
Nov 2024,40.8
Dec 2024,99.6
Jan 2025,51.6
Feb 2025,61
Mar 2025,32.8
Apr 2025,29.2
May 2025,7.2
