Timestamp,Value
Sep 2015,65.6
Oct 2015,128.4
Nov 2015,265
Dec 2015,334.6
Jan 2016,221.4
Feb 2016,198.4
Mar 2016,136.6
Apr 2016,117.8
May 2016,91
Jun 2016,82.8
Jul 2016,178.2
Aug 2016,178.6
Sep 2016,195.2
Oct 2016,81.8
Nov 2016,191.8
Dec 2016,158
Jan 2017,155.2
Feb 2017,186
Mar 2017,154.8
Apr 2017,100.6
May 2017,48.8
Jun 2017,128.8
Jul 2017,183.8
Aug 2017,223
Sep 2017,119.6
Oct 2017,145.4
Nov 2017,236
Dec 2017,266
Jan 2018,256.2
Feb 2018,206.2
Mar 2018,117
Apr 2018,104
May 2018,95.6
Jun 2018,98.6
Jul 2018,112
Aug 2018,103.8
Sep 2018,314.2
Oct 2018,378.2
Nov 2018,225
Dec 2018,200.8
Jan 2019,188.6
Feb 2019,187.6
Mar 2019,228.4
Apr 2019,27
May 2019,110.4
Jun 2019,125.6
Jul 2019,185.8
Aug 2019,308
Sep 2019,231.2
Oct 2019,248.2
Nov 2019,59.2
Dec 2019,343.8
Jan 2020,407.6
Feb 2020,330.2
Mar 2020,260
Apr 2020,47
May 2020,135.6
Jun 2020,103
Jul 2020,174.4
Aug 2020,121.6
Sep 2020,271.8
Oct 2020,381.2
Nov 2020,323.2
Dec 2020,214.2
Jan 2021,188
Feb 2021,141.6
Mar 2021,294
Apr 2021,32.6
May 2021,72
Jun 2021,109.8
Jul 2021,26.4
Aug 2021,99.4
Sep 2021,166.4
Oct 2021,316
Nov 2021,268.6
Dec 2021,182
Jan 2022,196.4
Feb 2022,252.4
Mar 2022,84.6
Apr 2022,136.8
May 2022,183.6
Jun 2022,141.8
Jul 2022,146.8
Aug 2022,126
Sep 2022,198.4
Oct 2022,315.6
Nov 2022,324.2
Dec 2022,161.2
Jan 2023,144.4
Feb 2023,0
Mar 2023,0.6
Apr 2023,48.8
May 2023,52.8
Jun 2023,98
Jul 2023,160
Aug 2023,130.8
Sep 2023,245
Oct 2023,231
Nov 2023,183.9
Dec 2023,303.7
Jan 2024,216.8
Feb 2024,239.8
Mar 2024,95.2
Apr 2024,172.6
May 2024,81.6
Jun 2024,126.2
Jul 2024,98.2
Aug 2024,346
Sep 2024,69.4
Oct 2024,187.8
Nov 2024,132.2
Dec 2024,84.8
Jan 2025,66.4
Feb 2025,170.2
Mar 2025,152.2
Apr 2025,55.6
May 2025,89.2
Jun 2025,194
Jul 2025,153.6
Aug 2025,124
