Timestamp,Value
Jan 2019,65.6
Feb 2019,58.2
Mar 2019,183.2
Apr 2019,55.8
May 2019,142.4
Jun 2019,64.6
Jul 2019,88.8
Aug 2019,149.2
Sep 2019,66
Oct 2019,85.4
Nov 2019,106.8
Dec 2019,134.8
Jan 2020,130.2
Feb 2020,249.6
Mar 2020,52
Apr 2020,18.8
May 2020,59
Jun 2020,130.6
Jul 2020,101.6
Aug 2020,52.4
Sep 2020,67.8
Oct 2020,184.6
Nov 2020,74.2
Dec 2020,155.6
Jan 2021,104.8
Feb 2021,35
Mar 2021,84.2
Apr 2021,53
May 2021,149.8
Jun 2021,17.4
Jul 2021,146.6
Aug 2021,60.6
Sep 2021,63.6
Oct 2021,135.2
Nov 2021,121.2
Dec 2021,59
Jan 2022,89
Feb 2022,206
Mar 2022,30
Apr 2022,99.4
May 2022,89.4
Jun 2022,17.4
Jul 2022,73.4
Aug 2022,41.8
Sep 2022,118.6
Oct 2022,81.6
Nov 2022,50
Dec 2022,76.8
Jan 2023,127
Feb 2023,76.8
Mar 2023,87.8
Apr 2023,51.2
May 2023,35.2
Jun 2023,74
Jul 2023,117
Aug 2023,101.2
Sep 2023,118.2
Oct 2023,167.2
Nov 2023,101.2
Dec 2023,152.4
Jan 2024,116.6
Feb 2024,128.6
Mar 2024,78.4
Apr 2024,111.6
May 2024,60
Jun 2024,129.8
Jul 2024,62.6
Aug 2024,38.6
Sep 2024,78.2
Oct 2024,85.2
Nov 2024,64
Dec 2024,269
Jan 2025,86.4
Feb 2025,40.8
Mar 2025,52.4
Apr 2025,24.8
May 2025,11.8
