Timestamp,Value
Jun 2015,73.4
Jul 2015,127.6
Aug 2015,83.4
Sep 2015,109
Oct 2015,48.8
Nov 2015,68.6
Dec 2015,101.8
Jan 2016,89.2
Feb 2016,69.8
Mar 2016,48
Apr 2016,83.4
May 2016,45.2
Jun 2016,101.4
Jul 2016,97
Aug 2016,88.8
Sep 2016,57.6
Oct 2016,51.2
Nov 2016,75.2
Dec 2016,64
Jan 2017,85.8
Feb 2017,37
Mar 2017,53.2
Apr 2017,58.8
May 2017,41.8
Jun 2017,228.2
Jul 2017,61.8
Aug 2017,104.8
Sep 2017,145.8
Oct 2017,69.6
Nov 2017,137.2
Dec 2017,60.4
Jan 2018,54.6
Feb 2018,42.2
Mar 2018,47
Apr 2018,46.2
May 2018,30.8
Jun 2018,36.6
Jul 2018,34
Aug 2018,38.2
Sep 2018,100.4
Oct 2018,87.2
Nov 2018,38.8
Dec 2018,27.2
Jan 2019,73.2
Feb 2019,59.2
Mar 2019,106
Apr 2019,62
May 2019,157.8
Jun 2019,105.5
Jul 2019,90.4
Aug 2019,154
Sep 2019,84.2
Oct 2019,70.8
Nov 2019,163.2
Dec 2019,67.8
Jan 2020,51.6
Feb 2020,120.2
Mar 2020,35
Apr 2020,16.2
May 2020,43.2
Jun 2020,89.2
Jul 2020,96.2
Aug 2020,62.2
Sep 2020,58
Oct 2020,201.6
Nov 2020,36.4
Dec 2020,183.4
Jan 2021,88.8
Feb 2021,26
Mar 2021,62.6
Apr 2021,48.4
May 2021,122.4
Jun 2021,14.8
Jul 2021,102
Aug 2021,57
Sep 2021,84
Oct 2021,128.8
Nov 2021,101.8
Dec 2021,61.6
Jan 2022,35.6
Feb 2022,117.8
Mar 2022,31.6
Apr 2022,96
May 2022,92.4
Jun 2022,22.8
Jul 2022,41.4
Aug 2022,42.4
Sep 2022,112
Oct 2022,64.6
Nov 2022,55
Dec 2022,87.8
Jan 2023,97
Feb 2023,45.6
Mar 2023,83.8
Apr 2023,48.6
May 2023,40.4
Jun 2023,44.4
Jul 2023,114.6
Aug 2023,55.6
Sep 2023,107.8
Oct 2023,132.6
Nov 2023,112.6
Dec 2023,130.6
Jan 2024,58.8
Feb 2024,74
Mar 2024,60.2
Apr 2024,116
May 2024,103.4
Jun 2024,127.6
Jul 2024,89.2
Aug 2024,42.2
Sep 2024,115.8
Oct 2024,81.2
Nov 2024,46.6
Dec 2024,170
Jan 2025,58.8
Feb 2025,15.8
Mar 2025,57.2
Apr 2025,22.6
May 2025,4.2
